event,node,start,end
form start,,1638186667867,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638186667868,1638186671442
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638186671450,1638186966095
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638186966103,1638186967720
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1638186967731,1638186969019
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638186969028,1638186969725
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638186969734,1638186970980
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638186970988,1638186972270
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1638186972279,1638186973524
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638186973534,1638186974954
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638186974962,1638186977846
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638186977855,1638186979343
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638186979353,1638186988785
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638186988795,1638187063137
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638187063205,1638187064458
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638187064467,1638187070892
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638187070900,1638187075014
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638187075022,1638187078373
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638187078380,1638187091588
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638187091597,1638187093351
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638187093360,1638187110424
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638187110432,1638187125486
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638187125494,1638187126999
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638187127007,1638187129225
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638187129234,1638187140265
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638187140274,1638187142178
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638187142187,1638187212387
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638187212480,1638187266627
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638187266681,1638187278860
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638187278868,1638187280123
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638187280132,1638187302368
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638187302376,1638187317561
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638187317570,1638187333755
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1638187333764,1638187335782
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638187335792,1638187338459
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1638187338467,1638187350578
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1638187350586,1638187507376
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1638187507429,1638187551313
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1638187551365,1638187560538
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1638187560547,1638187566307
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1638187566315,1638187608517
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1638187608547,1638187612988
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1638187612997,1638187622581
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1638187622590,1638187632820
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1638187632829,1638187646120
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1638187646128,1638187648198
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1638187648206,1638187656044
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1638187656051,1638187659119
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1638187659127,1638187667266
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1638187667274,1638187691604
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1638187691611,1638187692734
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1638187692742,1638187739192
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1638187739201,1638187765191
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1638187765200,1638187766306
end screen,,1638187766313,1638187802708
form save,,1638187802929,
form exit,,1638187802929,
form finalize,,1638187802929,
