event,node,start,end
form start,,1637656283333,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637656283334,1637656292722
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637656292730,1637656388577
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637656388586,1637656390346
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637656390359,1637656391850
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637656391863,1637656393297
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637656393313,1637656398104
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637656398113,1637656400140
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637656400153,1637656420986
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637656421000,1637656472786
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637656472848,1637656474712
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637656474727,1637656476170
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637656476229,1637656477609
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637656477619,1637656482949
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637656483019,1637656485731
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637656485740,1637656488084
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637656488143,1637656489278
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637656489287,1637656497277
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637656497292,1637656508191
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637656508204,1637656516624
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637656516638,1637656536963
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637656536972,1637656538515
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637656538526,1637656539880
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637656539891,1637656540635
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637656540645,1637656542984
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637656542993,1637656544221
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637656544230,1637656558485
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637656558496,1637656559492
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637656559501,1637656561759
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637656561773,1637656566568
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637656566582,1637656568646
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637656568655,1637656583549
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637656583558,1637656587030
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637656587039,1637656591921
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637656591931,1637656770071
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637656770176,1637656852069
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637656852139,1637656855568
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637656855582,1637656858171
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637656858187,1637656883785
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637656883794,1637656889830
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637656889839,1637656896867
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637656896876,1637656909507
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_shelter,1637656909516,1637656912523
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637656912536,1637656923547
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637656923564,1637656925080
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637656925140,1637656928495
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637656928509,1637657195414
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637657195473,1637657305610
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637657305670,1637657350776
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637657350788,1637657353148
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637657353157,1637657459988
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637657460046,1637657462817
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637657462833,1637657484906
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637657484915,1637657517571
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637657517583,1637657519061
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637657519074,1637657521224
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637657521235,1637657531949
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637657531961,1637657542819
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637657542828,1637657556495
question,/aR6PPMC6cqn8347ghKWeBk/coherence/use_complaint_mechanisms,1637657556508,1637657558531
question,/aR6PPMC6cqn8347ghKWeBk/coherence/reason_not_use_complaint,1637657558542,1637657560189
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637657560201,1637657561469
question,/aR6PPMC6cqn8347ghKWeBk/coherence/reason_not_use_complaint,1637657561478,1637657563652
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637657563663,1637657574939
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637657574948,1637657576281
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637657576290,1637657613489
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637657613498,1637657635983
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637657635992,1637657637032
end screen,,1637657637041,1637657689572
form save,,1637657689987,
form exit,,1637657689987,
form resume,,1637673532782,
jump,,1637673532782,1637673542822
end screen,,1637673542850,1637673545503
form save,,1637673546107,
form exit,,1637673546108,
form resume,,1637673554821,
jump,,1637673554821,1637673559272
end screen,,1637673559299,1637673560807
form save,,1637673561408,
form exit,,1637673561408,
form finalize,,1637673561409,
