event,node,start,end
form start,,1637834965039,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637834965040,1637834968885
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637834968894,1637835262554
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637835262569,1637835264244
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637835264262,1637835265873
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637835265888,1637835267621
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637835267634,1637835273100
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637835273108,1637835275179
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637835275191,1637835282343
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637835282353,1637835310075
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637835310137,1637835311847
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637835311856,1637835317067
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637835317079,1637835327537
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637835327552,1637835340568
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637835340584,1637835348246
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637835348255,1637835349757
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637835349766,1637835365573
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637835365587,1637835373507
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637835373522,1637835375018
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637835375029,1637835377098
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637835377111,1637835385752
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637835385766,1637835388970
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637835389060,1637835390560
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637835390576,1637835393389
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637835393404,1637835575163
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637835575278,1637835636974
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637835637035,1637835661756
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637835661767,1637835678702
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637835678714,1637835697168
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637835697181,1637835720487
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637835720501,1637835724225
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637835724248,1637835729111
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_repair_nfi,1637835729128,1637835731734
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1637835731748,1637835733127
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637835733142,1637835770062
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637835770077,1637835933246
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637835933306,1637836065707
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637836065756,1637836086515
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1637836086527,1637836093798
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637836093811,1637836101782
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation_mpca,1637836101798,1637836103784
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637836103797,1637836142235
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637836142269,1637836157330
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637836157339,1637836166136
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637836166148,1637836189665
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637836189678,1637836195692
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637836195704,1637836240347
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637836240359,1637836262982
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637836262994,1637836278200
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637836278214,1637836279887
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637836279896,1637836283638
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637836283646,1637836285030
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637836285038,1637836287817
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance_other,1637836287830,1637836345321
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637836345333,1637836346085
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637836346094,1637836357878
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637836357886,1637836379695
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637836379703,1637836380695
end screen,,1637836380703,1637836401847
form save,,1637836402345,
form exit,,1637836402345,
form finalize,,1637836402346,
