event,node,start,end
form start,,1637668635261,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637668635262,1637668638814
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637668638829,1637668936085
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637668936099,1637668937822
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637668937835,1637668942949
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637668942963,1637668946804
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637668946817,1637668951052
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637668951061,1637668953190
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637668953203,1637668959181
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637668959196,1637669010091
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637669010154,1637669011937
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637669011951,1637669017674
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637669017692,1637669024139
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637669024153,1637669065011
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637669065025,1637669066037
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637669066046,1637669067920
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637669067931,1637669069092
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637669069101,1637669071103
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637669071178,1637669089095
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637669089104,1637669103923
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637669103994,1637669105679
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637669105690,1637669106871
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637669106880,1637669108859
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637669108869,1637669110721
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637669110737,1637669120095
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637669120106,1637669121729
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637669121739,1637669135514
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637669135533,1637669136686
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637669136703,1637669146165
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637669146180,1637669154630
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637669154645,1637669158564
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637669158578,1637669166190
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637669166206,1637669168239
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637669168253,1637669173412
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637669173421,1637669409275
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637669409376,1637669474769
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637669474816,1637669480776
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637669480793,1637669482804
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637669482814,1637669511807
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637669511817,1637669516746
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_no_help_escalation_priorities,1637669516762,1637669529711
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637669529721,1637669535012
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637669535026,1637669537839
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_shelter,1637669537853,1637669540619
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_shock_ineffective_shelter,1637669540633,1637669545247
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637669545260,1637669581125
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637669581137,1637669803887
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637669803958,1637669860797
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637669860854,1637669884521
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637669884536,1637669907077
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637669907086,1637669923368
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637669923401,1637669927363
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637669927377,1637669932641
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637669932652,1637669937642
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637669937656,1637669939318
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637669939330,1637669941435
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637669941451,1637669945939
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637669945952,1637669950186
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637669950197,1637669957825
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637669957839,1637669967712
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance_other,1637669967724,1637669974689
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637669974702,1637669976071
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637669976082,1637670004598
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637670004615,1637670033011
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637670033025,1637670034266
end screen,,1637670034276,1637670054206
form save,,1637670054712,
form exit,,1637670054712,
form finalize,,1637670054712,
form resume,,1637673736824,
jump,,1637673736824,1637673741821
end screen,,1637673741856,1637673751195
form save,,1637673751788,
form exit,,1637673751788,
form finalize,,1637673751789,
