event,node,start,end
form start,,1637491580174,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637491580176,1637491584695
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637491584705,1637492790260
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637492790269,1637492791824
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637492791840,1637492793214
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637492793228,1637492798415
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/will_to_response,1637492798428,1637492804247
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/relationship,1637492804256,1637492809123
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637492809132,1637492813397
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637492813406,1637492814995
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/sex_head_hh,1637492815007,1637492816472
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637492816484,1637492871124
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637492871134,1637492980854
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637492980912,1637492989346
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637492989357,1637492991636
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637492991650,1637493000284
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637493000298,1637493009027
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637493009038,1637493030356
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637493030365,1637493036755
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637493036763,1637493047215
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637493047229,1637493061515
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637493061523,1637493064652
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637493064660,1637493072492
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1637493072503,1637493080646
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637493080654,1637493083867
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637493083877,1637493100810
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637493100825,1637493185223
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637493185322,1637493281484
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637493281548,1637493285183
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637493285192,1637493286639
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637493286650,1637493292485
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637493292494,1637493294629
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637493294640,1637493300454
