event,node,start,end
form start,,1637742194254,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637742194256,1637742197055
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637742197064,1637742379207
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637742379219,1637742381143
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637742381158,1637742385990
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637742386000,1637742387934
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637742387942,1637742399868
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637742399877,1637742408985
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637742408997,1637742413655
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637742413664,1637742416282
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637742416296,1637742418694
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637742418704,1637742452854
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637742452925,1637742454082
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637742454090,1637742460501
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637742460514,1637742488084
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637742488093,1637742489890
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637742489904,1637742499329
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637742499337,1637742501171
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637742501180,1637742519227
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637742519240,1637742555886
