event,node,start,end
form start,,1637500730984,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637500730985,1637500773536
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637500773551,1637500866351
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637500866363,1637500868008
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637500868025,1637500876183
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637500876196,1637500877879
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637500877893,1637500886359
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637500886368,1637500888393
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637500888406,1637500894912
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637500894922,1637500898480
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637500898549,1637500903201
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637500903210,1637500952270
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637500952339,1637500954782
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637500954793,1637500958094
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637500958103,1637500977396
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637500977409,1637500991610
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637500991623,1637501006577
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637501006586,1637501008066
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637501008077,1637501027957
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637501027966,1637501052167
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637501052181,1637501054178
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637501054191,1637501063289
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1637501063302,1637501067501
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637501067510,1637501071270
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637501071280,1637501074563
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637501074574,1637501328538
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637501328639,1637501381786
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637501381838,1637501403274
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637501403287,1637501405057
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637501405071,1637501406501
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637501406513,1637501407068
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637501407080,1637501408764
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637501408774,1637501410273
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637501410285,1637501433842
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637501433854,1637501441324
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637501441339,1637501446100
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637501446111,1637501459451
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_repair_nfi,1637501459461,1637501479581
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_shelter,1637501479604,1637501490662
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_shock_ineffective_shelter,1637501490672,1637501493593
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1637501493606,1637501497156
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_shock_ineffective_shelter,1637501497167,1637501497909
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_shelter,1637501497919,1637501498893
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_repair_nfi,1637501498903,1637501500024
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637501500033,1637501502558
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637501502567,1637501504563
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_repair_nfi,1637501504580,1637501505316
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_shelter,1637501505327,1637501506153
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_shock_ineffective_shelter,1637501506163,1637501507052
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1637501507063,1637501508894
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637501508911,1637501554407
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637501554418,1637501604291
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637501604360,1637501611258
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637501611270,1637501765340
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637501765403,1637501851266
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637501851328,1637501871633
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637501871646,1637501873728
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637501873742,1637501951274
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637501951310,1637501967895
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637501967908,1637501989527
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637501989541,1637502007535
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637502007551,1637502014003
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637502014012,1637502026752
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637502026769,1637502029011
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637502029021,1637502031758
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637502031768,1637502033582
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637502033591,1637502046474
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637502046482,1637502046851
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637502046863,1637502048422
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637502048436,1637502054993
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637502055002,1637502064082
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637502064095,1637502069741
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637502069750,1637502072715
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose_other,1637502072727,1637502076189
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637502076198,1637502093983
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637502093998,1637502106707
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637502106727,1637502108002
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637502108013,1637502140389
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637502140404,1637502185893
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637502185909,1637502187570
end screen,,1637502187578,1637502222747
form save,,1637502223328,
form exit,,1637502223328,
form finalize,,1637502223328,
form resume,,1637502266961,
jump,,1637502266962,1637502274707
end screen,,1637502274740,1637502276545
form save,,1637502277019,
form exit,,1637502277020,
form finalize,,1637502277020,
