event,node,start,end
form start,,1637656596696,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637656596697,1637656599761
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637656599770,1637656601676
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637656601685,1637656705640
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637656705650,1637656707432
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637656707441,1637656709088
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637656709101,1637656712900
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637656712908,1637656714857
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637656714871,1637656729344
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637656729352,1637656794161
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637656794244,1637656795537
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637656795552,1637656802115
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637656802127,1637656813866
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637656813879,1637656833697
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637656833706,1637656858508
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637656858516,1637656863935
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637656863943,1637656873915
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637656873930,1637656882985
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637656882994,1637656893671
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637656893680,1637656895831
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637656895842,1637656911603
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637656911611,1637656914510
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637656914519,1637657049923
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637657050010,1637657107825
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637657107875,1637657121202
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637657121213,1637657128525
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637657128537,1637657170193
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637657170202,1637657183102
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637657183113,1637657203941
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637657203950,1637657206421
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637657206429,1637657211359
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637657211367,1637657226594
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637657226602,1637657441558
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637657441621,1637657546192
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637657546261,1637657560975
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637657560990,1637657562647
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637657562661,1637657601404
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637657601444,1637657606786
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637657606794,1637657625450
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637657625459,1637657633109
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637657633118,1637657635327
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637657635336,1637657639785
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637657639794,1637657654022
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637657654031,1637657658256
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637657658269,1637657675096
question,/aR6PPMC6cqn8347ghKWeBk/coherence/use_complaint_mechanisms,1637657675111,1637657680944
question,/aR6PPMC6cqn8347ghKWeBk/coherence/reason_not_use_complaint,1637657680953,1637657682761
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637657682774,1637657687640
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637657687649,1637657697796
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637657697804,1637657767775
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637657767788,1637657783697
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637657783705,1637657784746
end screen,,1637657784753,1637657800117
form save,,1637657800779,
form exit,,1637657800780,
form finalize,,1637657800780,
