event,node,start,end
form start,,1637836408312,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637836408313,1637836410648
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637836410657,1637836478312
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637836478322,1637836480175
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637836480191,1637836482409
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637836482418,1637836484057
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637836484068,1637836504586
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637836504595,1637836507571
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637836507584,1637836511278
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637836511287,1637836543782
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637836543842,1637836545024
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637836545034,1637836548751
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637836548766,1637836550576
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637836550585,1637836552442
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637836552455,1637836568065
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637836568079,1637836599710
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637836599723,1637836609386
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637836609395,1637836611151
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637836611159,1637836626328
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637836626340,1637836632434
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637836632447,1637836634767
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637836634778,1637836636728
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637836636740,1637836645280
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637836645292,1637836840501
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637836840589,1637836881844
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637836881895,1637836889310
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637836889322,1637836891056
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637836891069,1637836927899
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637836927913,1637836938536
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637836938549,1637836949920
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637836949936,1637836952779
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1637836952788,1637836956974
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637836956983,1637836997597
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637836997611,1637837133627
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637837133684,1637837136525
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637837136580,1637837150579
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637837150644,1637837242295
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637837242353,1637837243811
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637837243869,1637837246747
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637837246808,1637837248209
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637837248281,1637837267294
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637837267347,1637837289231
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1637837289241,1637837291763
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637837291775,1637837308095
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation_mpca,1637837308104,1637837310723
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637837310732,1637837330303
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637837330361,1637837348771
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637837348783,1637837350970
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637837350983,1637837363139
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637837363154,1637837372886
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637837372902,1637837383249
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637837383263,1637837392426
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637837392438,1637837416946
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637837416955,1637837429578
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637837429596,1637837435330
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637837435342,1637837438388
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637837438396,1637837453849
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637837453858,1637837483475
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637837483484,1637837484435
end screen,,1637837484444,1637837504170
form save,,1637837504954,
form exit,,1637837504954,
form finalize,,1637837504955,
