event,node,start,end
form start,,1637747038297,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637747038298,1637747042565
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637747042573,1637747108906
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637747108919,1637747110430
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637747110444,1637747111982
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637747111999,1637747113499
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637747113510,1637747122159
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637747122172,1637747123760
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637747123770,1637747178046
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637747178055,1637747225178
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637747225237,1637747227968
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637747227979,1637747230233
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637747230246,1637747238145
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637747238154,1637747247443
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637747247452,1637747282458
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637747282466,1637747283754
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637747283766,1637747287237
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637747287245,1637747292280
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637747292293,1637747293878
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637747293886,1637747294849
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637747294857,1637747312978
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637747312993,1637747315814
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637747315822,1637747317432
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637747317440,1637747328964
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637747328975,1637747331313
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637747331324,1637747333826
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637747333837,1637747335707
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637747335718,1637747337831
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637747337842,1637747338741
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637747338749,1637747346536
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637747346549,1637747353925
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637747353974,1637747357895
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637747357907,1637747439262
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637747439364,1637747527858
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637747527938,1637747534798
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637747534810,1637747536031
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637747536041,1637747543280
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637747543292,1637747545304
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637747545316,1637747567218
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637747567233,1637747569685
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637747569694,1637747570488
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637747570498,1637747571812
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637747571823,1637747574698
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_loss_employ,1637747574712,1637747579194
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637747579206,1637747614747
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637747614758,1637747727780
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637747727838,1637747768647
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637747768706,1637747771437
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637747771449,1637747774936
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637747774948,1637747818316
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637747818360,1637747820055
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637747820070,1637747824733
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637747824743,1637747848970
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637747848981,1637747850344
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637747850354,1637747852730
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637747852742,1637747854996
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637747855010,1637747857181
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637747857196,1637747860113
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637747860125,1637747860982
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637747860990,1637747862096
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637747862108,1637747878838
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637747878847,1637747879747
