event,node,start,end
form start,,1637140389972,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637140389974,1637140394365
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637140394375,1637140423083
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637140423100,1637140424966
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637140424981,1637140426537
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637140426553,1637140428170
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637140428184,1637140433530
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637140433544,1637140434598
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637140434610,1637140437512
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637140437523,1637140439842
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637140439859,1637140444033
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637140444042,1637140490313
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637140490413,1637140492323
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637140492334,1637140498458
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637140498475,1637140508937
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637140508947,1637140510465
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637140510481,1637140523823
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637140523834,1637140525731
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637140525751,1637140546691
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637140546702,1637140555769
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637140555784,1637140570246
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637140570256,1637140572488
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637140572501,1637140584461
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637140584476,1637140609532
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637140609547,1637140612775
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637140612863,1637140615922
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637140615939,1637140847888
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637140847987,1637140930782
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637140930845,1637140961773
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637140961786,1637140967947
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637140967962,1637140979387
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637140979402,1637140989854
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637140989864,1637141003755
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637141003770,1637141036695
