event,node,start,end
form start,,1637842502110,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637842502111,1637842505438
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637842505447,1637842659533
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637842659545,1637842661111
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637842661123,1637842662925
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637842662934,1637842664594
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637842664605,1637842676036
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637842676044,1637842678154
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637842678165,1637842696668
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637842696691,1637842780063
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637842780130,1637842783193
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637842783203,1637842784704
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637842784714,1637842785313
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637842785324,1637842786710
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637842786776,1637842791023
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637842791042,1637842792480
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637842792543,1637842793806
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637842793815,1637842797180
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637842797193,1637842799044
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637842799059,1637842805070
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637842805084,1637842817010
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637842817019,1637842819601
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637842819610,1637842837542
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637842837557,1637842841973
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637842841988,1637842843739
