event,node,start,end
form start,,1638180401749,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638180401751,1638180405078
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638180405086,1638180461369
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638180461380,1638180463295
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1638180463307,1638180472190
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638180472198,1638180474168
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638180474176,1638180480269
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638180480278,1638180482613
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638180482621,1638180485273
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638180485283,1638180548656
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638180548716,1638180550273
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638180550281,1638180555090
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638180555153,1638180556391
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638180556401,1638180565334
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638180565343,1638180578019
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638180578029,1638180587777
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638180587788,1638180595574
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638180595584,1638180597220
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638180597230,1638180619596
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638180619607,1638180638614
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638180638622,1638180641291
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638180641301,1638180644898
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638180644908,1638180647757
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638180647766,1638180650684
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638180650693,1638180771332
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638180771446,1638180863810
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638180863844,1638180866101
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638180866111,1638180868279
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638180868288,1638180897139
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638180897148,1638180899150
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638180899159,1638180902245
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1638180902254,1638180919335
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_edu,1638180919344,1638180922091
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_shelter,1638180922100,1638180949138
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_shock_ineffective_shelter,1638180949147,1638180951334
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1638180951343,1638180956238
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1638180956247,1638180974160
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1638180974221,1638181053905
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1638181053913,1638181274971
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1638181275027,1638181333004
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1638181333051,1638181350957
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1638181350966,1638181353666
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1638181353715,1638181356043
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1638181356051,1638181368977
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1638181368986,1638181439962
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1638181439987,1638181446245
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1638181446254,1638181452679
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1638181452687,1638181455173
