event,node,start,end
form start,,1637833556877,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637833556879,1637833560465
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637833560474,1637833645646
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637833645665,1637833647493
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637833647502,1637833649113
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637833649122,1637833650713
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637833650729,1637833656828
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637833656837,1637833659745
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637833659755,1637833677750
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637833677759,1637833741827
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637833741893,1637833742924
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637833742934,1637833747095
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637833747113,1637833755612
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637833755621,1637833764909
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637833764917,1637833782650
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637833782660,1637833796028
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637833796038,1637833799232
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637833799244,1637833811849
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637833811857,1637833815631
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637833815641,1637833928743
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637833928756,1637833929605
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637833929613,1637833930568
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637833930577,1637833931389
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637833931397,1637833932189
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637833932197,1637833933071
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637833933083,1637833933994
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637833934010,1637833934855
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637833934864,1637833935819
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637833935828,1637833936640
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637833936649,1637833938021
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637833938079,1637833940701
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637833940712,1637833972474
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637833972532,1637833973762
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637833973771,1637833974747
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637833974756,1637833976059
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637833976068,1637833990895
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637833990904,1637833992044
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637833992053,1637833992824
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637833992832,1637833994033
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637833994046,1637833995408
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637833995419,1637834007799
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637834007810,1637834013809
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637834013818,1637834016766
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637834016778,1637834020914
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637834020923,1637834135278
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637834135374,1637834208184
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637834208231,1637834221400
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637834221415,1637834223962
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637834223971,1637834236438
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637834236447,1637834240625
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637834240635,1637834250031
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637834250040,1637834261946
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637834261956,1637834265191
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_repair_nfi,1637834265202,1637834268003
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_shelter,1637834268013,1637834270176
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1637834270188,1637834271839
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637834271852,1637834275493
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637834275502,1637834449488
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637834449557,1637834505595
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637834505659,1637834521148
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637834521159,1637834530600
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637834530608,1637834546352
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637834546379,1637834558457
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637834558474,1637834566357
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637834566367,1637834567466
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637834567475,1637834572970
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637834573019,1637834574051
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637834574061,1637834575240
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637834575250,1637834589798
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637834589807,1637834593882
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637834593893,1637834596099
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637834596112,1637834611336
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637834611348,1637834623501
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637834623511,1637834625616
question,/aR6PPMC6cqn8347ghKWeBk/coherence/use_complaint_mechanisms,1637834625628,1637834629803
question,/aR6PPMC6cqn8347ghKWeBk/coherence/reason_not_use_complaint,1637834629813,1637834633349
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637834633367,1637834652683
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637834652692,1637834653522
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637834653535,1637834654405
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637834654417,1637834655103
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637834655117,1637834662020
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance_other,1637834662029,1637834669440
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637834669449,1637834670875
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637834670883,1637834704479
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637834704488,1637834718117
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637834718126,1637834719184
end screen,,1637834719198,1637834911705
form save,,1637834912444,
form exit,,1637834912444,
form finalize,,1637834912444,
