event,node,start,end
form start,,1637147239576,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637147239578,1637147243694
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637147243706,1637147706019
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637147706030,1637147707840
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637147707850,1637147709485
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637147709496,1637147717045
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/will_to_response,1637147717055,1637147725976
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/relationship,1637147725985,1637147728432
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637147728442,1637147733347
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637147733357,1637147735513
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/sex_head_hh,1637147735524,1637147738203
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637147738218,1637147749972
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637147749984,1637147787566
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637147787628,1637147789205
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637147789215,1637147794249
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637147794258,1637147802672
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637147802689,1637147815763
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637147815773,1637147828613
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637147828628,1637147832396
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637147832405,1637147843410
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637147843419,1637147851305
