event,node,start,end
form start,,1638083157629,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638083157631,1638083182367
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638083182379,1638083523845
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638083523854,1638083526070
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1638083526079,1638083527852
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638083527862,1638083529415
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638083529425,1638083532723
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638083532731,1638083534485
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638083534494,1638083537594
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638083537604,1638083579548
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638083579611,1638083580948
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638083580957,1638083585088
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638083585097,1638083593450
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638083593460,1638083598022
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638083598031,1638083606184
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638083606193,1638083608063
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638083608072,1638083614712
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638083614724,1638083625901
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638083625909,1638083627413
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638083627422,1638083641096
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638083641106,1638083643472
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638083643481,1638083655907
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638083655916,1638083657736
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638083657745,1638083659182
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1638083659191,1638083661061
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638083661070,1638083669040
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638083669049,1638083678519
