event,node,start,end
form start,,1638170477213,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638170477215,1638170480720
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638170480732,1638170626746
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638170626755,1638170628222
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1638170628232,1638170629638
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638170629648,1638170631200
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638170631209,1638170633361
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638170633369,1638170638215
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638170638224,1638170646860
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638170646868,1638170709828
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638170709885,1638170710780
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638170710787,1638170714886
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638170714895,1638170723730
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638170723739,1638170733788
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638170733796,1638170755897
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638170755905,1638170757759
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638170757767,1638170798206
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638170798214,1638170806086
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638170806094,1638170808131
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638170808139,1638170811356
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638170811365,1638170812702
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638170812710,1638170813351
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638170813359,1638170818171
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638170818180,1638170819634
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638170819643,1638170822095
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638170822104,1638170824590
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638170824597,1638170890065
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638170890166,1638170966894
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638170966940,1638170970881
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638170970890,1638170978129
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638170978137,1638170984114
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638170984122,1638170987356
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638170987364,1638170989021
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1638170989030,1638170995437
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1638170995446,1638170996848
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1638170996858,1638170998162
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1638170998170,1638171001321
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1638171001330,1638171139237
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1638171139289,1638171216521
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1638171216566,1638171229037
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1638171229046,1638171233493
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1638171233504,1638171257665
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1638171257688,1638171267971
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1638171267979,1638171283964
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1638171283972,1638171291777
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1638171291785,1638171293223
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1638171293232,1638171294985
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1638171294995,1638171297645
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1638171297654,1638171307320
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1638171307328,1638171313189
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1638171313197,1638171320553
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose_other,1638171320563,1638171325224
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1638171325233,1638171327752
question,/aR6PPMC6cqn8347ghKWeBk/coherence/use_complaint_mechanisms,1638171327760,1638171330960
question,/aR6PPMC6cqn8347ghKWeBk/coherence/reason_not_use_complaint,1638171330968,1638171332905
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1638171332914,1638171347700
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1638171347708,1638171348564
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1638171348572,1638171411087
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1638171411096,1638171429325
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1638171429333,1638171430122
end screen,,1638171430130,1638171457630
form save,,1638171457897,
form exit,,1638171457897,
form finalize,,1638171457897,
form resume,,1638171471847,
jump,,1638171471848,1638171474344
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638171474367,1638171478582
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638171478592,1638171479481
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638171479489,1638171483198
jump,,1638171483198,1638171484401
end screen,,1638171484435,1638171673110
form save,,1638171673332,
form exit,,1638171673332,
form finalize,,1638171673332,
