event,node,start,end
form start,,1637662710561,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637662710563,1637662713425
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637662713435,1637662715464
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637662715474,1637662889127
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637662889136,1637662890134
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637662890142,1637662891911
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637662891919,1637662895019
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637662895037,1637662897195
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637662897205,1637662901471
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637662901480,1637662903510
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637662903524,1637662920099
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637662920110,1637662966955
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637662967018,1637662968541
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637662968553,1637663004684
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637663004692,1637663017690
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637663017700,1637663038456
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637663038466,1637663051162
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637663051172,1637663052976
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637663052984,1637663070352
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637663070363,1637663094985
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637663094996,1637663100776
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637663100790,1637663103398
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637663103409,1637663124361
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637663124369,1637663414984
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637663415117,1637663489464
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637663489513,1637663534965
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637663534978,1637663538594
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637663538602,1637663595018
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637663595027,1637663617330
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637663617342,1637663623710
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637663623719,1637663626492
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637663626501,1637663630017
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637663630026,1637663670403
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637663670412,1637663879995
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637663880080,1637663964013
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637663964068,1637663995208
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637663995222,1637663997686
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637663997695,1637664082180
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637664082214,1637664086692
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637664086701,1637664098418
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637664098457,1637664101078
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637664101092,1637664127971
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637664127981,1637664154247
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637664154269,1637664156446
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637664156454,1637664179749
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637664179762,1637664187374
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637664187387,1637664188725
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637664188738,1637664190622
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637664190636,1637664198249
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637664198257,1637664208590
question,/aR6PPMC6cqn8347ghKWeBk/coherence/use_complaint_mechanisms,1637664208600,1637664214057
question,/aR6PPMC6cqn8347ghKWeBk/coherence/reason_not_use_complaint,1637664214075,1637664219459
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637664219467,1637664222929
question,/aR6PPMC6cqn8347ghKWeBk/coherence/reason_not_use_complaint,1637664222937,1637664224561
question,/aR6PPMC6cqn8347ghKWeBk/coherence/use_complaint_mechanisms,1637664224571,1637664225347
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637664225356,1637664225912
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637664225924,1637664226556
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637664226565,1637664227846
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637664227856,1637664228813
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637664228822,1637664229640
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637664229648,1637664231312
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637664231321,1637664237077
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637664237086,1637664238127
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637664238136,1637664240933
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637664240963,1637664242201
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637664242210,1637664243411
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637664243419,1637664246338
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637664246426,1637664248902
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637664248966,1637664250633
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637664250644,1637664251981
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637664251991,1637664253802
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637664253815,1637664254855
