event,node,start,end
form start,,1637664505820,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637664505821,1637664649142
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637664649151,1637664869717
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637664869726,1637664871483
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637664871492,1637664872838
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637664872849,1637664874135
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637664874145,1637664878915
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637664878923,1637664880513
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637664880524,1637664883347
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637664883359,1637664919963
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637664920021,1637664921306
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637664921316,1637664923795
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637664923807,1637664926688
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637664926698,1637664928044
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637664928054,1637664934864
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637664934873,1637664936971
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637664936980,1637664946731
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637664946740,1637664956334
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637664956347,1637664957851
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637664957862,1637664961616
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637664961630,1637664970245
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637664970255,1637664976136
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637664976145,1637665071621
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637665071762,1637665120896
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637665120995,1637665135006
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637665135019,1637665136361
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637665136373,1637665153444
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637665153453,1637665162488
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637665162497,1637665173492
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637665173502,1637665178998
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_shelter,1637665179007,1637665181279
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637665181294,1637665198273
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637665198283,1637665326075
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637665326129,1637665378183
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637665378242,1637665389327
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637665389336,1637665390259
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637665390268,1637665391901
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637665391910,1637665396821
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637665396837,1637665439254
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637665439285,1637665447106
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637665447115,1637665462012
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637665462021,1637665482003
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637665482015,1637665490502
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637665490521,1637665497976
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637665497992,1637665503848
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637665503857,1637665513630
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637665513638,1637665524011
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637665524024,1637665539991
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637665540000,1637665562305
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637665562320,1637665578023
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637665578032,1637665593778
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637665593787,1637665611624
end screen,,1637665611636,1637665634304
form save,,1637665635008,
form exit,,1637665635008,
form finalize,,1637665635008,
