event,node,start,end
form start,,1637483920621,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637483920623,1637483927957
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637483927971,1637484038193
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637484038207,1637484040491
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637484040503,1637484048347
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637484048362,1637484050228
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637484050238,1637484056732
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637484056742,1637484058340
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637484058356,1637484068606
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637484068619,1637484156534
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637484156621,1637484158349
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637484158363,1637484164917
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637484164931,1637484170372
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637484170389,1637484175206
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637484175221,1637484182328
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637484182338,1637484184483
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637484184493,1637484201848
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637484201865,1637484231495
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637484231511,1637484243503
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637484243519,1637484247539
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637484247549,1637484257539
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637484257548,1637484258584
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637484258596,1637484259670
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637484259680,1637484261822
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637484261832,1637484262616
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637484262639,1637484263723
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637484263733,1637484267884
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637484267895,1637484272301
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637484272313,1637484452538
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637484452639,1637484509887
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637484509945,1637484533261
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637484533271,1637484538449
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637484538459,1637484570579
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637484570594,1637484572122
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637484572137,1637484574758
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637484574775,1637484598128
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_repair_nfi,1637484598142,1637484600088
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637484600106,1637484633819
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637484633836,1637484725485
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637484725550,1637484739098
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637484739157,1637484751437
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637484751507,1637484849240
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637484849307,1637484882093
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1637484882103,1637484883054
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637484883064,1637484884789
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1637484884800,1637484888531
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637484888541,1637484890185
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1637484890196,1637484891818
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637484891827,1637484916773
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation_mpca,1637484916786,1637484920414
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637484920424,1637484977920
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637484977953,1637484985348
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637484985361,1637485008935
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637485008946,1637485023424
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637485023434,1637485028803
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637485028815,1637485043834
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637485043844,1637485067381
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637485067397,1637485070371
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637485070386,1637485079594
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637485079603,1637485088573
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637485088582,1637485089931
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637485089942,1637485092628
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637485092638,1637485114041
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637485114060,1637485135003
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637485135016,1637485136405
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637485136417,1637485180381
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637485180397,1637485207029
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637485207046,1637485209268
end screen,,1637485209280,1637485232331
form save,,1637485232861,
form exit,,1637485232861,
form finalize,,1637485232861,
form resume,,1637485244901,
jump,,1637485244902,1637485250849
end screen,,1637485250881,1637485252542
form save,,1637485253217,
form exit,,1637485253217,
form finalize,,1637485253218,
form resume,,1637500239928,
jump,,1637500239929,1637500309920
end screen,,1637500309953,1637500311437
form save,,1637500312118,
form exit,,1637500312118,
form finalize,,1637500312118,
form resume,,1637500454085,
jump,,1637500454086,1637500462878
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637500462907,1637500466400
jump,,1637500466400,1637500468019
end screen,,1637500468061,1637500469402
form save,,1637500470062,
form exit,,1637500470063,
form finalize,,1637500470063,
