event,node,start,end
form start,,1637582620291,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637582620293,1637582765726
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637582765738,1637582852332
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637582852341,1637582853404
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637582853413,1637582866672
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637582866684,1637582868017
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637582868030,1637582869283
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637582869295,1637582874384
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637582874392,1637582880956
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637582880964,1637582882577
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637582882587,1637582890266
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637582890276,1637582891946
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637582892007,1637582893299
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637582893309,1637582956547
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637582956612,1637582957671
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637582957685,1637582965621
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637582965629,1637582977054
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637582977063,1637582979323
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637582979333,1637582984789
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637582984798,1637582986568
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637582986577,1637582997914
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637582997926,1637583008160
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637583008171,1637583010121
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637583010132,1637583016815
