event,node,start,end
form start,,1638094816518,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638094816519,1638094819543
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638094819552,1638094980091
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638094980099,1638094982246
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1638094982255,1638094984114
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638094984121,1638094986008
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638094986016,1638095095874
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638095095882,1638095097786
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638095097794,1638095104551
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638095104561,1638095130497
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638095130552,1638095131948
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638095131956,1638095136454
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638095136462,1638095146727
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638095146735,1638095149154
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638095149163,1638095158114
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638095158122,1638095165695
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638095165704,1638095196483
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638095196490,1638095199376
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638095199383,1638095220688
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638095220697,1638095223580
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638095223589,1638095259074
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638095259082,1638095272422
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638095272431,1638095277642
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638095277651,1638095282282
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638095282291,1638095350196
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638095350251,1638095448416
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638095448461,1638095450973
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638095450981,1638095452901
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638095452909,1638095460897
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638095460905,1638095465036
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638095465046,1638095473032
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638095473041,1638095474978
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638095474986,1638095476657
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638095476666,1638095479134
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638095479143,1638095482162
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1638095482170,1638095509874
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638095509883,1638095514663
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1638095514671,1638095517622
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_repair_nfi,1638095517631,1638095525382
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1638095525391,1638095536787
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1638095536795,1638095699207
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1638095699258,1638095818550
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1638095818601,1638095828473
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1638095828481,1638095842354
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1638095842362,1638095845695
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation_mpca,1638095845704,1638095849868
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1638095849878,1638095893907
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1638095893935,1638095896316
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1638095896325,1638095903581
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1638095903591,1638095920985
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1638095920996,1638095931326
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1638095931334,1638095934335
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1638095934343,1638095937678
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1638095937686,1638095941634
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1638095941642,1638095942880
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1638095942888,1638095970943
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1638095970951,1638095971989
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1638095971997,1638095998422
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1638095998430,1638095999236
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1638095999244,1638096000632
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1638096000641,1638096051464
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1638096051473,1638096052711
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1638096052718,1638096075119
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1638096075127,1638096075983
end screen,,1638096075991,1638096097606
form save,,1638096097763,
form exit,,1638096097763,
form resume,,1638105157262,
jump,,1638105157262,1638105162869
end screen,,1638105162890,1638105168662
form save,,1638105168884,
form exit,,1638105168884,
form finalize,,1638105168884,
