event,node,start,end
form start,,1638087408948,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638087408949,1638087412613
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638087412622,1638087599499
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638087599512,1638087602793
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1638087602801,1638087604336
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638087604343,1638087606115
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638087606122,1638087611185
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638087611194,1638087613097
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638087613106,1638087634327
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638087634336,1638087691332
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638087691397,1638087692743
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638087692751,1638087698895
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638087698904,1638087705743
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638087705752,1638087707206
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638087707215,1638087746344
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638087746353,1638087747973
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638087747982,1638087764514
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638087764522,1638087787190
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638087787198,1638087789368
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638087789376,1638087791529
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638087791537,1638087801404
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638087801412,1638087803533
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638087803543,1638087806458
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638087806522,1638087809018
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638087809029,1638087958626
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638087958721,1638088015794
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638088015842,1638088024450
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638088024458,1638088037134
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638088037142,1638088062636
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638088062644,1638088072393
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638088072401,1638088089104
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1638088089112,1638088118013
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1638088118022,1638088120239
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_shelter,1638088120248,1638088122084
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1638088122091,1638088148616
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1638088148625,1638088190229
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1638088190286,1638088193567
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1638088193615,1638088377666
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1638088377721,1638088434003
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1638088434071,1638088454283
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1638088454291,1638088461133
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1638088461141,1638088502062
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1638088502088,1638088511104
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1638088511113,1638088516875
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1638088516905,1638088522675
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1638088522684,1638088549140
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1638088549149,1638088565599
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1638088565608,1638088568558
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1638088568566,1638088572464
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1638088572473,1638088582538
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1638088582547,1638088586329
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1638088586337,1638088599662
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1638088599672,1638088615903
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1638088615912,1638088616867
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1638088616876,1638088675787
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1638088675796,1638088721820
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1638088721829,1638088722799
end screen,,1638088722807,1638088781779
form save,,1638088781988,
form exit,,1638088781988,
form finalize,,1638088781988,
