event,node,start,end
form start,,1637755254405,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637755254407,1637755295150
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637755295160,1637755400029
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637755400039,1637755401651
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637755401665,1637755403135
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637755403148,1637755404582
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637755404597,1637755409449
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637755409458,1637755411377
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637755411392,1637755421085
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637755421099,1637755498427
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637755498488,1637755499571
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637755499580,1637755501522
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637755501534,1637755523123
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637755523132,1637755526121
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637755526131,1637755566171
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637755566182,1637755569151
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637755569162,1637755594472
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637755594481,1637755629474
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637755629489,1637755630942
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637755630955,1637755632305
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637755632317,1637755665195
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637755665208,1637755670231
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637755670244,1637755985676
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637755985769,1637756170599
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637756170670,1637756176526
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637756176543,1637756181644
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637756181654,1637756264440
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities_other,1637756264449,1637756282581
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637756282590,1637756328724
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637756328735,1637756332022
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637756332031,1637756339300
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_repair_nfi,1637756339309,1637756341814
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637756341828,1637756346240
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637756346249,1637756693449
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637756693512,1637756831772
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637756831821,1637756906745
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637756906754,1637756908570
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637756908578,1637757012654
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637757012694,1637757021634
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637757021647,1637757030632
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637757030640,1637757046502
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637757046511,1637757048411
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637757048419,1637757049924
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637757049937,1637757051811
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637757051823,1637757054414
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637757054428,1637757081330
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637757081339,1637757112835
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637757112843,1637757118917
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637757118925,1637757120907
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637757120916,1637757127597
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637757127610,1637757131858
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637757131867,1637757144397
question,/aR6PPMC6cqn8347ghKWeBk/coherence/use_complaint_mechanisms,1637757144410,1637757148280
question,/aR6PPMC6cqn8347ghKWeBk/coherence/reason_not_use_complaint,1637757148294,1637757151070
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637757151087,1637757153837
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637757153845,1637757154969
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637757154977,1637757175837
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637757175846,1637757217024
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637757217032,1637757217988
end screen,,1637757217996,1637757258494
form save,,1637757258997,
form exit,,1637757258998,
form resume,,1637759286235,
jump,,1637759286235,1637759302250
end screen,,1637759302277,1637759303668
form save,,1637759304276,
form exit,,1637759304276,
form finalize,,1637759304277,
