event,node,start,end
form start,,1637736706316,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637736706319,1637736710186
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637736710201,1637736711900
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637736711918,1637736722712
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637736722726,1637736741449
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637736741465,1637736743492
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637736743510,1637736745458
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637736745471,1637736747359
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/will_to_response,1637736747376,1637736749196
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/relationship,1637736749214,1637736758693
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637736758714,1637736765977
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637736765990,1637736768591
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/sex_head_hh,1637736768606,1637736771517
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637736771529,1637736796133
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637736796153,1637736824322
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637736824395,1637736825495
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637736825505,1637736826528
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637736826538,1637736827813
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637736827823,1637736833358
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637736833369,1637736845681
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637736845696,1637736846925
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637736846939,1637736854639
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637736854650,1637736855715
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637736855725,1637736857868
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637736857880,1637736859408
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637736859420,1637736860694
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637736860704,1637736863058
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637736863070,1637736863838
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637736863852,1637736864744
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637736864754,1637736875659
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637736875673,1637736887446
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637736887457,1637736894886
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637736894899,1637736904652
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637736904668,1637736905410
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637736905424,1637736906654
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637736906670,1637736908550
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637736908567,1637736911902
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637736911919,1637736926796
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637736926806,1637737166147
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637737166273,1637737266788
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637737266847,1637737268967
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637737268977,1637737278108
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637737278155,1637737293950
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637737293962,1637737299171
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637737299186,1637737302038
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637737302048,1637737309345
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637737309354,1637737481343
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637737481360,1637737482288
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637737482303,1637737491928
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637737491936,1637737493043
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637737493052,1637737494688
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637737494697,1637737495487
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637737495497,1637737505495
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637737505505,1637737510797
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637737510809,1637737539389
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637737539398,1637737543893
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637737543906,1637737771464
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637737771530,1637737924340
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637737924413,1637738000022
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1637738000031,1637738002148
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637738002158,1637738005920
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1637738005929,1637738017681
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637738017699,1637738025829
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation_mpca,1637738025843,1637738027491
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637738027505,1637738134980
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637738135009,1637738151202
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637738151214,1637738160107
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637738160116,1637738175456
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637738175469,1637738177054
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637738177063,1637738182377
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637738182386,1637738186484
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637738186496,1637738196314
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637738196330,1637738206726
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637738206739,1637738207756
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637738207765,1637738208979
question,/aR6PPMC6cqn8347ghKWeBk/coherence/use_complaint_mechanisms,1637738208992,1637738212199
question,/aR6PPMC6cqn8347ghKWeBk/coherence/reason_not_use_complaint,1637738212210,1637738213839
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637738213851,1637738221539
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637738221551,1637738235287
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637738235299,1637738253821
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637738253831,1637738308820
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637738308833,1637738310207
end screen,,1637738310216,1637738334823
form save,,1637738335346,
form exit,,1637738335347,
form resume,,1637750382501,
jump,,1637750382501,1637750385390
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637750385416,1637750386438
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637750386448,1637750386879
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637750386891,1637750387671
