event,node,start,end
form start,,1638179105413,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638179105414,1638179109177
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638179109187,1638179207341
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638179207350,1638179209128
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1638179209138,1638179213189
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638179213198,1638179215699
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/will_to_response,1638179215708,1638179217829
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/relationship,1638179217837,1638179219872
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638179219880,1638179223163
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638179223173,1638179225591
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/sex_head_hh,1638179225599,1638179227437
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638179227446,1638179230097
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638179230107,1638179344781
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638179344838,1638179346183
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638179346192,1638179349524
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638179349533,1638179356988
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638179356997,1638179362175
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638179362184,1638179363222
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638179363231,1638179366065
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638179366075,1638179373745
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638179373755,1638179414258
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638179414267,1638179420759
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638179420768,1638179422404
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638179422413,1638179429569
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638179429579,1638179449916
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638179449927,1638179462252
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638179462261,1638179467655
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638179467664,1638179476367
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638179476374,1638179478644
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1638179478653,1638179481819
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638179481828,1638179490014
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638179490024,1638179493125
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638179493133,1638179606176
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638179606281,1638179649044
