event,node,start,end
form start,,1638087147595,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638087147596,1638087149697
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638087149706,1638087213877
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638087213885,1638087215160
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1638087215168,1638087216304
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638087216313,1638087217666
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638087217674,1638087222636
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638087222645,1638087224183
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638087224191,1638087237017
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638087237024,1638087285073
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638087285126,1638087286025
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638087286032,1638087291045
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638087291053,1638087292575
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638087292583,1638087298775
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638087298783,1638087310312
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638087310320,1638087322332
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638087322340,1638087323196
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638087323204,1638087328533
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638087328541,1638087349496
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638087349503,1638087352521
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638087352529,1638087364857
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638087364866,1638087381680
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638087381687,1638087389577
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638087389585,1638087390658
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638087390665,1638087391838
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638087391845,1638087405120
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638087405128,1638087408229
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638087408237,1638087417507
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638087417516,1638087424355
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638087424400,1638087438603
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638087438612,1638087516129
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638087516213,1638087581339
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638087581379,1638087594270
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638087594278,1638087602399
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638087602406,1638087611676
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638087611684,1638087620070
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638087620077,1638087632971
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638087632979,1638087634767
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638087634774,1638087644444
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1638087644452,1638087648318
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1638087648325,1638087652554
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_repair_nfi,1638087652562,1638087654184
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1638087654191,1638087657841
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_repair_nfi,1638087657849,1638087658491
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1638087658498,1638087661099
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_repair_nfi,1638087661109,1638087662214
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1638087662222,1638087666901
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1638087666909,1638087709028
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1638087709077,1638087711288
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1638087711296,1638087854142
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1638087854193,1638087856798
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1638087856842,1638087863652
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1638087863703,1638087937096
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1638087937139,1638087992224
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1638087992232,1638088004708
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1638088004715,1638088069294
