event,node,start,end
form start,,1637830914783,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637830914784,1637831011955
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637831011964,1637831022299
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637831022308,1637831277887
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637831277895,1637831280087
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637831280099,1637831282045
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637831282057,1637831284143
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637831284151,1637831286000
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637831286008,1637831323256
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637831323265,1637831383662
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637831383741,1637831384977
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637831384993,1637831387397
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637831387419,1637831388767
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637831388779,1637831392596
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637831392605,1637831431176
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637831431186,1637831433578
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637831433586,1637831436444
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637831436455,1637831440475
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637831440482,1637831442150
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637831442160,1637831449310
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637831449322,1637831453245
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637831453253,1637831470803
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637831470812,1637831475888
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637831475897,1637831488750
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1637831488759,1637831496800
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637831496811,1637831521538
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637831521546,1637831670949
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637831671030,1637831736925
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637831736980,1637831750778
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637831750791,1637831753055
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637831753064,1637831783566
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637831783574,1637831794763
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637831794771,1637831819927
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637831819937,1637831836647
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637831836656,1637831840197
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637831840205,1637831844007
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637831844016,1637831846587
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637831846600,1637831849048
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637831849056,1637831998212
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637831998271,1637832095903
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637832095953,1637832114079
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637832114087,1637832115913
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637832115921,1637832150435
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637832150464,1637832161749
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637832161757,1637832179745
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637832179754,1637832190653
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637832190664,1637832197146
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637832197155,1637832200171
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637832200180,1637832209892
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637832209901,1637832229446
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose_other,1637832229454,1637832237275
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637832237284,1637832246740
question,/aR6PPMC6cqn8347ghKWeBk/coherence/use_complaint_mechanisms,1637832246748,1637832249038
question,/aR6PPMC6cqn8347ghKWeBk/coherence/reason_not_use_complaint,1637832249047,1637832253172
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637832253181,1637832255896
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637832255905,1637832257187
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637832257196,1637832330514
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637832330522,1637832348526
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637832348534,1637832349454
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637832349462,1637832351574
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637832351582,1637832352441
end screen,,1637832352453,1637832368051
form save,,1637832368926,
form exit,,1637832368926,
form finalize,,1637832368926,
