event,node,start,end
form start,,1637662133300,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637662133302,1637662135649
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637662135658,1637662290801
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637662290818,1637662293007
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637662293020,1637662296296
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637662296309,1637662301247
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/will_to_response,1637662301261,1637662303151
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/relationship,1637662303163,1637662305210
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637662305223,1637662311902
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637662311910,1637662313651
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/sex_head_hh,1637662313662,1637662316244
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637662316256,1637662319697
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637662319705,1637662345092
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637662345154,1637662346417
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637662346428,1637662360015
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637662360026,1637662376221
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637662376234,1637662394589
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637662394602,1637662397418
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637662397428,1637662399106
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637662399114,1637662415766
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637662415781,1637662430596
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637662430612,1637662433343
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637662433355,1637662436092
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637662436102,1637662450079
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637662450090,1637662451473
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637662451481,1637662452714
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637662452727,1637662648435
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637662648511,1637662726056
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637662726148,1637662732393
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637662732401,1637662738796
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637662738844,1637662759741
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_misaligned_why,1637662759757,1637662769445
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637662769456,1637662777903
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637662777917,1637662803040
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637662803057,1637662817476
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_no_help_escalation_priorities,1637662817490,1637662824796
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637662824808,1637662847547
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637662847561,1637662851630
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637662851642,1637662856185
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637662856195,1637662879238
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637662879249,1637663022686
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637663022764,1637663124743
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637663124804,1637663154260
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1637663154272,1637663156832
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637663156841,1637663183031
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation_mpca,1637663183039,1637663190820
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637663190837,1637663275304
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637663275349,1637663292308
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637663292320,1637663295213
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637663295227,1637663298256
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637663298273,1637663300808
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637663300824,1637663308131
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637663308145,1637663320949
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637663320957,1637663323421
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637663323432,1637663364923
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637663364938,1637663383911
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637663383923,1637663477112
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637663477123,1637663497873
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637663497881,1637663519036
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637663519044,1637663520430
end screen,,1637663520438,1637663542859
form save,,1637663543381,
form exit,,1637663543381,
form finalize,,1637663543381,
