event,node,start,end
form start,,1637134582218,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637134582220,1637134685129
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637134685148,1637134694895
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637134694910,1637134697058
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637134697070,1637134700453
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637134700463,1637134702928
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637134702938,1637134708042
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637134708052,1637134710243
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637134710254,1637134716599
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637134716610,1637134784842
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637134784913,1637134786723
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637134786734,1637134792955
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637134792970,1637134802658
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637134802669,1637134808637
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637134808648,1637134819912
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637134819923,1637134821883
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637134821893,1637134843800
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637134843810,1637134868783
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637134868793,1637134880188
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_status_other,1637134880198,1637134886037
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637134886048,1637134899261
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1637134899272,1637134911657
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637134911667,1637134929639
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637134929650,1637134932241
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637134932254,1637134934089
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637134934099,1637135108760
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637135108934,1637135175064
