event,node,start,end
form start,,1637567721969,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637567721972,1637567725643
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637567725653,1637567771973
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637567771984,1637567773807
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637567773818,1637567775626
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637567775639,1637567777227
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637567777240,1637567784431
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637567784440,1637567786362
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637567786381,1637567818269
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637567818278,1637567829934
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637567829990,1637567834059
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637567834069,1637567858915
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637567858975,1637567860244
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637567860253,1637567883581
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637567883590,1637567891360
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637567891369,1637567901733
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637567901745,1637567909490
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637567909500,1637567911687
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637567911696,1637567930397
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637567930412,1637567942176
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637567942186,1637567946141
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637567946150,1637567966065
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1637567966075,1637567969988
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637567969997,1637567972492
