event,node,start,end
form start,,1637738774607,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637738774608,1637738777603
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637738777612,1637738779723
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637738779732,1637738904574
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637738904582,1637738906108
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637738906122,1637738908167
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637738908182,1637738910570
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637738910584,1637738912729
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637738912738,1637738918421
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637738918429,1637738984863
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637738984928,1637738985887
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637738985897,1637738993415
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637738993427,1637739004938
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637739004948,1637739008046
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637739008056,1637739061154
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637739061163,1637739067251
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637739067260,1637739076587
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637739076599,1637739090413
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637739090427,1637739095092
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637739095100,1637739097918
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637739097927,1637739132877
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637739132887,1637739136108
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637739136117,1637739319708
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637739319804,1637739424186
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637739424228,1637739428321
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637739428330,1637739445484
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637739445495,1637739507289
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637739507298,1637739508640
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637739508649,1637739510741
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637739510749,1637739525732
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637739525744,1637739554614
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637739554623,1637739558482
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637739558494,1637739728613
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637739728695,1637739838390
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637739838441,1637739854371
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637739854389,1637739858325
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637739858334,1637739894051
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637739894080,1637739897763
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637739897775,1637739922299
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637739922307,1637739928715
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637739928723,1637739938273
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637739938288,1637739940047
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637739940056,1637739947284
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637739947293,1637739949766
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637739949775,1637739952389
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637739952398,1637739954971
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637739954980,1637739984070
question,/aR6PPMC6cqn8347ghKWeBk/coherence/use_complaint_mechanisms,1637739984079,1637739986026
question,/aR6PPMC6cqn8347ghKWeBk/coherence/reason_not_use_complaint,1637739986038,1637739989533
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637739989541,1637739993948
question,/aR6PPMC6cqn8347ghKWeBk/coherence/reason_not_use_complaint,1637739993956,1637739996311
question,/aR6PPMC6cqn8347ghKWeBk/coherence/use_complaint_mechanisms,1637739996319,1637740003389
question,/aR6PPMC6cqn8347ghKWeBk/coherence/time_resolve_complaint,1637740003397,1637740014387
question,/aR6PPMC6cqn8347ghKWeBk/coherence/satisfaction_complaint,1637740014396,1637740016787
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637740016799,1637740024629
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637740024637,1637740027272
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637740027282,1637740100016
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637740100024,1637740121827
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637740121835,1637740122774
end screen,,1637740122782,1637740135070
form save,,1637740135683,
form exit,,1637740135683,
form finalize,,1637740135683,
