event,node,start,end
form start,,1637492329818,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637492329820,1637492332792
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637492332801,1637492334634
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637492334647,1637492415736
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637492415745,1637492417238
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637492417250,1637492418050
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637492418062,1637492422679
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637492422691,1637492431260
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637492431268,1637492437024
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637492437033,1637492439899
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637492439908,1637492445486
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637492445494,1637492581563
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637492581621,1637492582706
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637492582715,1637492583688
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637492583755,1637492584909
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637492584918,1637492592289
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637492592303,1637492599637
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637492599650,1637492612374
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637492612383,1637492623081
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637492623096,1637492628459
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637492628469,1637492635887
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637492635896,1637492636919
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637492636930,1637492648736
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637492648748,1637492650557
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637492650566,1637492650942
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637492650953,1637492651306
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637492651320,1637492651731
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637492651742,1637492652809
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637492652871,1637492654160
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637492654172,1637492655191
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637492655208,1637492656062
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637492656073,1637492656507
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637492656517,1637492656894
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637492656911,1637492657796
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637492657860,1637492658997
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637492659007,1637492666489
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637492666550,1637492667537
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637492667555,1637492668630
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637492668639,1637492669500
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637492669514,1637492670472
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637492670481,1637492672415
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637492672424,1637492674539
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637492674552,1637492686273
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637492686282,1637492697352
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637492697362,1637492706116
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637492706131,1637492721318
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637492721327,1637492739668
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637492739677,1637492742624
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637492742633,1637493012649
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637493012733,1637493079267
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637493079327,1637493115763
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637493115775,1637493131749
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637493131761,1637493174581
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637493174591,1637493175490
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637493175500,1637493196164
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637493196173,1637493199464
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637493199475,1637493228294
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637493228308,1637493299198
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637493299207,1637493528856
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637493528914,1637493688763
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637493688839,1637493718157
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637493718165,1637493722082
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637493722099,1637493830305
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637493830340,1637493850758
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637493850772,1637493854420
