event,node,start,end
form start,,1637838791164,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637838791165,1637838794987
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637838794996,1637838824629
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637838824639,1637838828086
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637838828099,1637838831489
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637838831502,1637838833153
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637838833168,1637838835166
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637838835200,1637838844431
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637838844446,1637838853482
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637838853491,1637838872886
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637838872946,1637838873842
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637838873851,1637838880351
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637838880360,1637838885031
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637838885040,1637838900720
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637838900731,1637838908806
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637838908815,1637838910366
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637838910375,1637838918397
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637838918406,1637838919833
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637838919842,1637838922131
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637838922141,1637838922808
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637838922818,1637838925558
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637838925572,1637838928290
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637838928299,1637838929912
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637838929921,1637838936792
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1637838936801,1637838938535
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637838938544,1637838940484
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637838940493,1637838944877
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637838944885,1637838994995
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637838995092,1637839032657
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637839032712,1637839035234
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637839035244,1637839036466
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637839036477,1637839038826
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637839038835,1637839046975
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637839046991,1637839048759
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637839048773,1637839049619
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637839049629,1637839057128
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637839057137,1637839060371
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637839060380,1637839063986
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637839063998,1637839069382
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637839069392,1637839072495
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_shelter,1637839072507,1637839076535
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1637839076544,1637839078547
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637839078558,1637839084048
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637839084056,1637839234533
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637839234587,1637839285414
