event,node,start,end
form start,,1637749249071,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637749249072,1637749395976
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637749395988,1637749682433
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637749682444,1637749684242
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637749684252,1637749686071
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637749686081,1637749687859
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/will_to_response,1637749687869,1637749701996
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/relationship,1637749702006,1637749703801
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637749703816,1637749801831
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637749801841,1637749806206
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/sex_head_hh,1637749806218,1637749807745
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637749807754,1637749813738
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637749813746,1637749889516
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637749889576,1637749890535
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637749890544,1637749895727
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637749895739,1637749904864
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637749904876,1637749911436
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637749911446,1637749925515
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637749925524,1637749927095
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637749927104,1637749933989
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637749934004,1637749944768
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637749944778,1637749948464
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637749948477,1637749949982
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637749949997,1637749962673
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637749962689,1637749963883
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637749963892,1637749964826
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637749964836,1637749966612
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1637749966624,1637749968191
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637749968204,1637749969504
