event,node,start,end
form start,,1637841844299,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637841844301,1637841847395
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637841847403,1637841850403
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637841850412,1637842127723
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637842127731,1637842129234
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637842129248,1637842131070
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637842131081,1637842133671
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637842133679,1637842135287
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637842135299,1637842161632
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637842161640,1637842200862
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637842200940,1637842202246
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637842202257,1637842205818
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637842205842,1637842212015
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637842212027,1637842217260
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637842217268,1637842245180
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637842245194,1637842249758
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637842249766,1637842273539
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637842273550,1637842280759
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637842280768,1637842296341
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637842296349,1637842301644
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637842301652,1637842304450
