event,node,start,end
form start,,1637651581324,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637651581325,1637651584368
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637651584377,1637651664178
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637651664188,1637651665997
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637651666011,1637651667832
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637651667846,1637651669554
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637651669566,1637651678772
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637651678780,1637651680852
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637651680862,1637651694638
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637651694647,1637651773550
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637651773611,1637651774573
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637651774586,1637651777767
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637651777776,1637651789318
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637651789329,1637651814108
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637651814117,1637651824858
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637651824867,1637651826791
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637651826800,1637651840553
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637651840562,1637651856823
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637651856833,1637651858925
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637651858936,1637651861447
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637651861459,1637651875484
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637651875499,1637651878847
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637651878858,1637652051337
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637652051410,1637652138848
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637652138899,1637652156784
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637652156792,1637652159808
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637652159820,1637652175082
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities_other,1637652175092,1637652181756
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637652181764,1637652190512
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637652190520,1637652197217
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637652197226,1637652217481
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637652217491,1637652222162
