event,node,start,end
form start,,1637585618423,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637585618424,1637585622315
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637585622324,1637585661482
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637585661495,1637585681552
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637585681566,1637585686534
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637585686550,1637585688067
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637585688080,1637585690638
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637585690648,1637585692383
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637585692394,1637585697768
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637585697778,1637585700669
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637585700680,1637585714196
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637585714209,1637585743543
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637585743616,1637585744325
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637585744334,1637585751178
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637585751190,1637585764305
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637585764314,1637585767038
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637585767047,1637585767774
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637585767783,1637585769689
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637585769700,1637585773666
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637585773675,1637585776987
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637585776998,1637585777850
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637585777861,1637585779176
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637585779188,1637585787276
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637585787285,1637585788978
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637585788987,1637585797321
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637585797334,1637585819430
