event,node,start,end
form start,,1638098023885,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638098023887,1638098029059
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638098029068,1638098085017
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638098085025,1638098086541
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1638098086550,1638098088059
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638098088068,1638098089738
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638098089748,1638098093561
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638098093570,1638098095989
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638098095997,1638098102706
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638098102714,1638098305947
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638098306005,1638098309027
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638098309035,1638098311836
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638098311844,1638098326134
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638098326142,1638098342458
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638098342467,1638098364319
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638098364327,1638098366097
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638098366105,1638098394225
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638098394235,1638098404034
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638098404042,1638098414773
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638098414782,1638098416086
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638098416095,1638098418132
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638098418140,1638098421890
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638098421898,1638098513314
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638098513420,1638098552374
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638098552419,1638098557725
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638098557734,1638098572653
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638098572662,1638098589577
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638098589586,1638098591970
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638098591980,1638098594017
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1638098594027,1638098606355
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1638098606364,1638098608860
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1638098608869,1638098612567
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1638098612576,1638098617854
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1638098617864,1638098797680
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1638098797734,1638098893268
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1638098893317,1638098908244
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1638098908253,1638098913448
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1638098913456,1638098938717
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1638098938745,1638098957551
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1638098957560,1638098961774
