event,node,start,end
form start,,1637149324055,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637149324056,1637149365461
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637149365471,1637150397196
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637150397206,1637150529175
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637150529185,1637150647545
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637150647554,1637150648538
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637150648547,1637150649890
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637150649901,1637150651385
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637150651394,1637150655510
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637150655518,1637150658728
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/will_to_response,1637150658741,1637150660405
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/relationship,1637150660414,1637150661941
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637150661951,1637150667925
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637150667933,1637150670092
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/sex_head_hh,1637150670102,1637150679074
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637150679087,1637150684796
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637150684804,1637150754701
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637150754765,1637150763814
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637150763822,1637150765171
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637150765178,1637150769806
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637150769813,1637150775735
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637150775791,1637150779980
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637150779988,1637150785752
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637150785812,1637150787669
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637150787679,1637150795724
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637150795734,1637150805631
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637150805641,1637150812390
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637150812404,1637150819465
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637150819473,1637150821448
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637150821456,1637150822662
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637150822674,1637150831201
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637150831210,1637150832737
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637150832745,1637150833324
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637150833333,1637150835465
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637150835474,1637150836193
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637150836204,1637150845147
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637150845159,1637150846098
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637150846107,1637150868925
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637150868936,1637150878731
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637150878740,1637150880916
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637150880925,1637150882637
