event,node,start,end
form start,,1638188151154,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638188151155,1638188153310
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638188153319,1638188177447
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638188177455,1638188178296
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638188178304,1638188530448
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638188530459,1638188531649
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1638188531659,1638188532824
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638188532834,1638188533971
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638188533981,1638188540455
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638188540464,1638188541169
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638188541181,1638188543214
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638188543222,1638188544527
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638188544538,1638188556397
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638188556406,1638188584322
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638188584385,1638188585124
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638188585132,1638188588413
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638188588469,1638188589280
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638188589288,1638188592056
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638188592064,1638188610392
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638188610400,1638188611839
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638188611847,1638188616893
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638188616901,1638188618489
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638188618498,1638188629394
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638188629403,1638188647697
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638188647706,1638188649527
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638188649535,1638188651654
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1638188651663,1638188655876
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638188655885,1638188658802
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638188658810,1638188660999
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638188661008,1638188709998
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638188710101,1638188762541
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638188762594,1638188765214
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638188765223,1638188766410
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638188766421,1638188771864
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638188771874,1638188773808
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638188773818,1638188776537
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1638188776545,1638188786429
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1638188786439,1638188789236
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_repair_nfi,1638188789244,1638188793724
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_shelter,1638188793733,1638188795487
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1638188795495,1638188814172
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1638188814181,1638188876815
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1638188876866,1638188947565
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1638188947619,1638188951853
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1638188951861,1638188953947
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1638188953955,1638188972318
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1638188972346,1638188975742
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1638188975751,1638188979799
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1638188979808,1638188990122
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1638188990130,1638188991368
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1638188991375,1638188993713
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1638188993720,1638188996506
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1638188996514,1638189018349
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1638189018358,1638189026229
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1638189026238,1638189027941
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1638189027951,1638189034259
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1638189034267,1638189041807
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1638189041815,1638189045796
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1638189045805,1638189053260
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1638189053268,1638189055388
question,/aR6PPMC6cqn8347ghKWeBk/coherence/use_complaint_mechanisms,1638189055397,1638189056651
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1638189056659,1638189057865
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1638189057875,1638189071846
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1638189071855,1638189072909
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1638189072918,1638189074489
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1638189074497,1638189075420
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1638189075428,1638189102699
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1638189102707,1638189103480
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1638189103489,1638189104761
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1638189104769,1638189121302
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1638189121310,1638189122166
end screen,,1638189122174,1638189984446
form save,,1638189984693,
form exit,,1638189984693,
form finalize,,1638189984693,
