event,node,start,end
form start,,1638174263165,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638174263166,1638174266244
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638174266253,1638174332896
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638174332903,1638174334379
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1638174334388,1638174336171
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638174336180,1638174338348
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/will_to_response,1638174338357,1638174341307
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/relationship,1638174341315,1638174342787
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638174342795,1638174344533
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638174344540,1638174346511
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/sex_head_hh,1638174346520,1638174347641
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638174347650,1638174352861
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638174352869,1638174377910
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638174377960,1638174399543
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638174399550,1638174573206
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638174573260,1638174574755
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638174574764,1638174577482
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638174577490,1638174587723
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638174587731,1638174604912
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638174604920,1638174615369
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638174615377,1638174616781
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638174616790,1638174632625
