event,node,start,end
form start,,1637750298350,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637750298351,1637750300741
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637750300750,1637750327247
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637750327258,1637750329163
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637750329177,1637750336141
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637750336153,1637750339046
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637750339060,1637750343876
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637750343885,1637750346034
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637750346048,1637750350037
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637750350045,1637750393509
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637750393566,1637750395757
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637750395767,1637750400471
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637750400483,1637750423011
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637750423022,1637750455502
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637750455510,1637750469401
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637750469409,1637750471186
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637750471193,1637750482896
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637750482908,1637750499116
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637750499130,1637750501411
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637750501426,1637750503372
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637750503384,1637750547108
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637750547122,1637750553449
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637750553458,1637750749496
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637750749574,1637750830813
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637750830864,1637750848551
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637750848568,1637750856375
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637750856387,1637750875161
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637750875174,1637750876415
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637750876423,1637750878378
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities_other,1637750878391,1637750882806
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637750882814,1637750900515
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637750900530,1637750903919
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637750903935,1637750912272
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_shelter,1637750912287,1637750915229
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637750915242,1637750937150
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637750937159,1637751117488
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637751117545,1637751287437
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637751287496,1637751345422
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1637751345432,1637751348402
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637751348412,1637751350795
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation_mpca,1637751350808,1637751356522
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637751356536,1637751405262
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637751405292,1637751427947
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637751427959,1637751431128
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637751431140,1637751495670
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637751495680,1637751497867
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637751497880,1637751546594
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637751546603,1637751555230
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts_other,1637751555244,1637751558684
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637751558693,1637751563315
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose_other,1637751563329,1637751571313
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637751571329,1637751582335
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637751582349,1637751590088
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637751590097,1637751615068
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637751615079,1637751629530
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637751629540,1637751650206
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637751650218,1637751651560
end screen,,1637751651567,1637751681177
form save,,1637751681744,
form exit,,1637751681745,
form finalize,,1637751681745,
