event,node,start,end
form start,,1637489987731,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637489987733,1637490117119
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637490117132,1637490123969
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637490123979,1637490128969
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637490128983,1637490216748
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637490216764,1637490218507
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637490218524,1637490420149
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637490420159,1637490422471
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637490422489,1637490428519
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637490428530,1637490476018
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637490476081,1637490477092
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637490477102,1637490483253
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637490483265,1637490491809
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637490491825,1637490494448
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637490494462,1637490505369
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637490505378,1637490507651
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637490507661,1637490517789
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637490517802,1637490538124
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637490538137,1637490541119
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637490541134,1637490543149
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637490543164,1637490547229
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637490547240,1637490554078
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637490554094,1637490802289
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637490802398,1637490895412
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637490895463,1637490899805
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637490899815,1637490907620
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637490907675,1637490969319
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_misaligned_why,1637490969329,1637490970240
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637490970250,1637490972964
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637490972974,1637490977824
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637490977832,1637490979854
