event,node,start,end
form start,,1637752388542,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637752388544,1637752392704
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637752392715,1637752530064
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637752530080,1637752533384
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637752533392,1637752535792
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637752535804,1637752538018
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/will_to_response,1637752538026,1637752540814
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/relationship,1637752540826,1637752542716
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637752542725,1637752544945
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637752544957,1637752546364
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/sex_head_hh,1637752546376,1637752548957
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637752548967,1637752550336
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/sex_head_hh,1637752550351,1637752552118
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637752552127,1637752554773
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637752554782,1637752618492
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637752618553,1637752619538
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637752619548,1637752623956
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637752623966,1637752630621
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637752630630,1637752633515
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637752633525,1637752646271
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637752646280,1637752647991
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637752648000,1637752653501
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637752653516,1637752663728
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637752663737,1637752666524
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637752666533,1637752669017
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637752669032,1637752678623
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637752678636,1637752685509
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637752685526,1637752768855
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637752768998,1637752808540
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637752808624,1637752822980
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637752822992,1637752824256
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637752824269,1637752843196
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637752843205,1637752845972
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637752845984,1637752865460
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637752865469,1637752870139
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637752870147,1637752873196
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637752873205,1637752882970
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637752882979,1637752885153
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637752885162,1637752908242
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637752908253,1637753032271
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637753032331,1637753072090
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637753072139,1637753084140
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637753084149,1637753086649
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637753086657,1637753088452
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637753088461,1637753092869
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637753092881,1637753124575
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637753124604,1637753133801
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637753133813,1637753147531
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637753147542,1637753160494
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637753160504,1637753165918
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637753165928,1637753169502
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637753169512,1637753180392
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637753180402,1637753185335
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637753185351,1637753194674
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637753194684,1637753213533
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637753213543,1637753214363
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637753214371,1637753237753
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637753237762,1637753249520
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637753249530,1637753250655
end screen,,1637753250666,1637753280274
form save,,1637753280985,
form exit,,1637753280985,
form finalize,,1637753280985,
