event,node,start,end
form start,,1637135932627,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637135932628,1637135939255
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637135939266,1637136401210
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637136401220,1637136403267
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637136403279,1637136406617
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637136406631,1637136409428
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/will_to_response,1637136409437,1637136411943
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/relationship,1637136411954,1637136414584
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637136414594,1637136419929
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637136419939,1637136422193
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/sex_head_hh,1637136422205,1637136424374
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637136424388,1637136430939
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637136430948,1637136496929
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637136497000,1637136498702
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637136498715,1637136503732
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637136503742,1637136512457
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637136512477,1637136521101
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637136521112,1637136532230
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637136532240,1637136535145
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637136535155,1637136551463
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637136551472,1637136589347
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637136589357,1637136590626
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637136590635,1637136594717
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637136594726,1637136599979
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_status_other,1637136599988,1637136617040
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637136617052,1637136640798
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637136640808,1637136659742
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637136659750,1637136850792
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637136850910,1637136922412
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637136922474,1637136935484
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637136935494,1637136938527
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637136938537,1637136987697
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637136987706,1637137003805
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637137003815,1637137024602
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637137024613,1637137041414
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637137041426,1637137042478
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637137042486,1637137044560
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637137044569,1637137064400
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1637137064410,1637137070919
