event,node,start,end
form start,,1637145996652,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637145996653,1637146001649
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637146001661,1637146086510
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637146086519,1637146090595
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637146090608,1637146095140
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637146095149,1637146097073
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637146097084,1637146105096
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637146105107,1637146106943
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637146106956,1637146111519
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637146111527,1637146202926
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637146202998,1637146209147
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637146209156,1637146210510
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637146210577,1637146211559
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637146211569,1637146216932
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637146216940,1637146223085
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637146223094,1637146227515
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637146227525,1637146236691
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637146236701,1637146239985
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637146239993,1637146251231
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637146251240,1637146259527
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637146259536,1637146268409
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637146268419,1637146282680
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637146282688,1637146296039
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637146296046,1637146298474
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637146298482,1637146427972
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637146428066,1637146505015
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637146505114,1637146522291
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637146522301,1637146523821
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637146523830,1637146549360
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637146549371,1637146559893
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637146559904,1637146577433
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637146577442,1637146582261
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637146582277,1637146590867
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637146590878,1637146621450
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637146621460,1637146750430
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637146750490,1637146754774
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637146754829,1637146760989
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637146761047,1637146839940
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637146839993,1637146854711
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637146854722,1637146858744
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637146858754,1637146896514
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637146896553,1637146909115
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637146909124,1637146956375
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637146956391,1637146967425
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637146967435,1637146986459
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637146986470,1637146991650
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637146991662,1637147003532
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637147003544,1637147011136
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637147011149,1637147038670
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637147038679,1637147052542
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637147052552,1637147053592
end screen,,1637147053601,1637147104121
form save,,1637147104756,
form exit,,1637147104757,
form finalize,,1637147104757,
form resume,,1637153436281,
jump,,1637153436281,1637153437941
end screen,,1637153437977,1637153460169
form save,,1637153460785,
form exit,,1637153460785,
form finalize,,1637153460786,
