event,node,start,end
form start,,1637492960369,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637492960370,1637493048121
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637493048131,1637493163865
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637493163875,1637493166616
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637493166628,1637493168325
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637493168336,1637493170103
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637493170112,1637493204016
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637493204025,1637493205859
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637493205881,1637493212936
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637493212951,1637493303959
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637493304054,1637493305156
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637493305173,1637493311291
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637493311306,1637493319471
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637493319484,1637493327720
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637493327729,1637493352676
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637493352685,1637493354204
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637493354213,1637493363460
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637493363477,1637493383125
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637493383134,1637493392521
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637493392530,1637493412326
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637493412335,1637493417180
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637493417189,1637493418437
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1637493418447,1637493429868
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637493429881,1637493440599
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637493440612,1637493444725
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637493444734,1637493529689
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637493529771,1637493587808
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637493587858,1637493606758
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637493606767,1637493608328
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637493608340,1637493625071
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities_other,1637493625080,1637493640225
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637493640234,1637493645814
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637493645824,1637493660231
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637493660242,1637493662910
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637493662926,1637493665124
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637493665137,1637493690639
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637493690649,1637493869279
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637493869344,1637493911513
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637493911571,1637493938203
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1637493938220,1637493954141
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637493954151,1637493957931
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637493957944,1637493963289
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637493963300,1637493997487
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637493997523,1637494009972
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637494009981,1637494021945
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637494021954,1637494040264
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637494040277,1637494041561
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637494041574,1637494044071
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637494044085,1637494050725
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637494050734,1637494054682
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637494054692,1637494075953
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637494075963,1637494098965
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637494098980,1637494100053
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637494100063,1637494311071
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637494311083,1637494362968
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637494362977,1637494364393
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637494364406,1637494372128
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637494372137,1637494373092
end screen,,1637494373102,1637494395794
form save,,1637494396379,
form exit,,1637494396379,
form resume,,1637498083639,
jump,,1637498083640,1637498098118
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637498093352,1637498098118
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_status_other,1637498098127,1637498110282
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637498110291,1637498111962
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1637498111974,1637498113641
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637498113649,1637498123006
form save,,1637498123377,
form exit,,1637498123377,
form resume,,1637500592005,
jump,,1637500592005,1637500598992
end screen,,1637500599024,1637500600718
form save,,1637500601252,
form exit,,1637500601252,
form finalize,,1637500601252,
