event,node,start,end
form start,,1637144522734,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637144522736,1637144527021
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637144527030,1637144529479
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637144529492,1637144532008
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637144532023,1637144534678
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637144534690,1637144741660
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637144741670,1637144746358
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637144746367,1637144748093
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637144748101,1637144750507
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637144750516,1637144752663
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637144752676,1637144756773
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637144756781,1637144759052
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637144759067,1637144766170
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637144766178,1637144826262
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637144826327,1637144827585
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637144827594,1637144835229
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637144835242,1637144856395
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637144856406,1637144860207
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637144860222,1637144890330
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637144890340,1637144892970
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637144892979,1637144901602
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637144901616,1637144923379
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637144923388,1637144927735
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637144927744,1637144952275
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637144952289,1637144965412
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637144965426,1637145130643
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637145130733,1637145248154
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637145248202,1637145262198
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637145262206,1637145299276
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637145299284,1637145359232
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities_other,1637145359241,1637145365802
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637145365811,1637145399936
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637145399948,1637145435611
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637145435620,1637145440914
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637145440922,1637145450638
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637145450648,1637145451855
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637145451864,1637145453951
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637145453959,1637145456245
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637145456258,1637145457881
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637145457890,1637145460280
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637145460288,1637145464993
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637145465002,1637145466728
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637145466740,1637145468278
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637145468290,1637145480142
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637145480154,1637145578761
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637145578846,1637145645425
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637145645480,1637145685986
