event,node,start,end
form start,,1637574351031,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637574351033,1637575313950
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637575313963,1637575383286
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637575383296,1637575385097
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637575385109,1637575386833
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637575386846,1637575388430
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637575388443,1637575392878
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637575392886,1637575395016
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637575395030,1637575412966
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637575412975,1637575470765
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637575470839,1637575472477
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637575472486,1637575502524
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637575502588,1637575503649
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637575503664,1637575510638
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637575510651,1637575521186
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637575521195,1637575542684
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637575542694,1637575561868
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637575561880,1637575565853
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637575565863,1637575572423
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637575572438,1637575580582
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637575580591,1637575582219
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637575582234,1637575590069
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637575590077,1637575604412
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637575604421,1637575616965
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637575616973,1637575634745
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637575634813,1637575637723
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637575637732,1637575740414
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637575740483,1637575817613
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637575817669,1637575825347
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637575825356,1637575827401
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637575827410,1637575874746
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637575874755,1637575882422
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637575882431,1637575889521
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637575889529,1637575894198
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637575894207,1637575896231
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_shelter,1637575896242,1637575904499
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637575904509,1637575935910
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637575935920,1637576147011
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637576147071,1637576215265
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637576215317,1637576224197
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1637576224206,1637576226379
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637576226389,1637576228898
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1637576228907,1637576230093
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637576230102,1637576246215
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637576246225,1637576248965
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637576248997,1637576251125
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1637576251138,1637576253325
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637576253333,1637576256136
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1637576256147,1637576256680
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637576256691,1637576261317
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637576261327,1637576264840
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637576264849,1637576352130
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637576352165,1637576356093
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637576356108,1637576362885
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637576362894,1637576370756
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637576370775,1637576372472
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637576372486,1637576374799
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637576374810,1637576385112
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637576385120,1637576394342
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose_other,1637576394351,1637576402495
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637576402510,1637576409371
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637576409381,1637576432345
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637576432358,1637576433351
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637576433362,1637576470957
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637576470970,1637576496887
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637576496898,1637576497809
end screen,,1637576497818,1637576525990
form save,,1637576526670,
form exit,,1637576526670,
form resume,,1637586854955,
jump,,1637586854956,1637586858834
end screen,,1637586858864,1637586860645
form save,,1637586861255,
form exit,,1637586861255,
form finalize,,1637586861255,
