event,node,start,end
form start,,1637150837254,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637150837256,1637150860755
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637150860766,1637150862640
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637150862651,1637150994006
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637150994016,1637150996572
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637150996588,1637150997544
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637150997553,1637151002240
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637151002252,1637151004671
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637151004681,1637151010015
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637151010026,1637151015202
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637151015211,1637151025361
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637151025371,1637151027145
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637151027161,1637151034378
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637151034390,1637151086766
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637151086838,1637151087837
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637151087846,1637151106993
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637151107063,1637151108201
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637151108215,1637151115958
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637151116016,1637151117087
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637151117096,1637151133133
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637151133150,1637151139469
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637151139486,1637151158427
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637151158437,1637151176765
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637151176776,1637151178525
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637151178536,1637151186622
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637151186632,1637151204331
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637151204346,1637151205870
