event,node,start,end
form start,,1638181595028,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638181595031,1638181824853
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638181824862,1638181826299
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638181826310,1638181827657
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1638181827681,1638181829142
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638181829152,1638181931112
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638181931122,1638181936846
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638181936855,1638181938576
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638181938584,1638181951808
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638181951817,1638182060359
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638182060425,1638182061876
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638182061886,1638182067197
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638182067206,1638182076240
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638182076249,1638182089605
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638182089614,1638182127010
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638182127018,1638182132878
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638182132887,1638182148322
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638182148330,1638182156617
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638182156626,1638182158080
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638182158089,1638182160591
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638182160600,1638182170066
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638182170076,1638182171863
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638182171873,1638182191262
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638182191318,1638182192793
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638182192803,1638182351862
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638182351972,1638182414644
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638182414690,1638182419877
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638182419887,1638182421856
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638182421864,1638182482817
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638182482826,1638182498193
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638182498203,1638182509651
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1638182509661,1638182513988
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638182513998,1638182521271
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1638182521281,1638182527768
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638182527777,1638182529582
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1638182529592,1638182532623
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1638182532631,1638182678868
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1638182678924,1638182760807
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1638182760866,1638182776299
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1638182776308,1638182777879
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1638182777888,1638182838358
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1638182838387,1638182847034
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1638182847043,1638182906466
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1638182906474,1638182926698
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1638182926707,1638182928277
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1638182928286,1638182931584
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1638182931594,1638182933963
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1638182933971,1638182938351
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1638182938359,1638182952930
question,/aR6PPMC6cqn8347ghKWeBk/coherence/use_complaint_mechanisms,1638182952940,1638182965232
question,/aR6PPMC6cqn8347ghKWeBk/coherence/reason_not_use_complaint,1638182965241,1638182969105
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1638182969113,1638182973843
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1638182973852,1638182990600
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1638182990609,1638183044446
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1638183044454,1638183062899
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1638183062907,1638183063946
end screen,,1638183063954,1638183081383
form save,,1638183081628,
form exit,,1638183081628,
form finalize,,1638183081628,
