event,node,start,end
form start,,1638174977702,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638174977704,1638174980071
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638174980080,1638174981336
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638174981345,1638174982742
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1638174982752,1638174985008
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638174985017,1638174993836
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638174993845,1638175007384
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638175007394,1638175080400
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/will_to_response,1638175080411,1638175082924
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/relationship,1638175082932,1638175084902
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638175084912,1638175088925
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638175088933,1638175090438
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/sex_head_hh,1638175090447,1638175091934
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638175091942,1638175128740
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638175128749,1638175180902
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638175180960,1638175182020
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638175182028,1638175187025
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638175187034,1638175195087
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638175195095,1638175211595
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638175211603,1638175247952
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638175247960,1638175267186
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638175267195,1638175276130
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638175276142,1638175288399
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638175288407,1638175294216
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638175294225,1638175306070
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638175306078,1638175309196
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638175309204,1638175317857
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638175317865,1638175319652
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638175319660,1638175322627
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1638175322636,1638175324922
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638175324931,1638175337374
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638175337383,1638175438119
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638175438182,1638175439330
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638175439339,1638175500382
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638175500474,1638175589530
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638175589580,1638175592686
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638175592694,1638175595746
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638175595754,1638175632320
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638175632328,1638175633117
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638175633125,1638175634764
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities_other,1638175634772,1638175639499
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638175639508,1638175651170
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638175651178,1638175685718
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1638175685727,1638175700711
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1638175700719,1638175890195
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1638175890251,1638175972467
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1638175972518,1638175986978
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1638175986988,1638175988457
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1638175988467,1638175989904
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation_mpca,1638175989913,1638175996885
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1638175996894,1638176035604
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1638176035630,1638176037898
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1638176037907,1638176051130
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1638176051140,1638176080306
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1638176080314,1638176081685
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1638176081695,1638176084911
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1638176084921,1638176086656
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1638176086664,1638176088285
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1638176088293,1638176096365
question,/aR6PPMC6cqn8347ghKWeBk/coherence/use_complaint_mechanisms,1638176096374,1638176098227
question,/aR6PPMC6cqn8347ghKWeBk/coherence/reason_not_use_complaint,1638176098236,1638176101236
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1638176101244,1638176109199
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1638176109207,1638176112340
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1638176112349,1638176186091
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1638176186101,1638176200105
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1638176200114,1638176201003
end screen,,1638176201011,1638176212009
form save,,1638176212231,
form exit,,1638176212231,
form finalize,,1638176212231,
