event,node,start,end
form start,,1637485841379,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637485841381,1637485847397
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637485847407,1637485975412
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637485975421,1637485977135
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637485977145,1637485982273
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637485982282,1637485985425
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637485985434,1637486001207
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637486001216,1637486009033
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637486009041,1637486012606
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637486012618,1637486014310
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637486014319,1637486018139
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637486018151,1637486033543
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637486033602,1637486034596
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637486034605,1637486039956
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637486039967,1637486061747
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637486061755,1637486082507
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637486082516,1637486125547
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637486125558,1637486127292
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637486127301,1637486148139
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637486148147,1637486149149
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637486149158,1637486154577
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637486154586,1637486157395
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637486157406,1637486160215
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637486160227,1637486162421
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637486162434,1637486165006
