event,node,start,end
form start,,1637142199358,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637142199359,1637142204139
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637142204149,1637142277540
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637142277554,1637142279242
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637142279252,1637142281445
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637142281454,1637142285614
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637142285631,1637142291758
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637142291766,1637142293398
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637142293410,1637142323450
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637142323459,1637142403946
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637142404010,1637142431929
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637142431938,1637142436923
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637142436936,1637142448802
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637142448816,1637142457918
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637142457930,1637142483635
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637142483644,1637142485130
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637142485140,1637142494611
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637142494623,1637142522436
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637142522446,1637142527227
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637142527240,1637142529677
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637142529688,1637142533663
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637142533676,1637142546602
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637142546613,1637142640798
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637142640894,1637142709212
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637142709279,1637142711955
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637142711963,1637142713006
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637142713015,1637142721038
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637142721047,1637142729747
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637142729761,1637142736987
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637142737001,1637142739552
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637142739563,1637142756253
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637142756267,1637142818243
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637142818256,1637142986244
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637142986342,1637143052509
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637143052561,1637143072151
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637143072161,1637143089242
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637143089258,1637143131731
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637143131777,1637143149048
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637143149062,1637143158537
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637143158546,1637143161203
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637143161211,1637143164256
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637143164271,1637143176635
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637143176644,1637143184723
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637143184736,1637143194963
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637143194977,1637143197287
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637143197296,1637143198765
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637143198773,1637143211894
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637143211903,1637143213752
end screen,,1637143213767,1637143273341
form save,,1637143273832,
form exit,,1637143273832,
form finalize,,1637143273832,
form resume,,1637153186189,
jump,,1637153186190,1637153188511
end screen,,1637153188542,1637153221699
form save,,1637153222263,
form exit,,1637153222263,
form finalize,,1637153222263,
