event,node,start,end
form start,,1638093178096,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638093178097,1638093189933
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638093189942,1638093200273
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638093200281,1638093201781
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1638093201791,1638093203266
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638093203274,1638093204496
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638093204504,1638093209400
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638093209408,1638093210896
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638093210905,1638093234569
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638093234578,1638093298219
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638093298276,1638093302511
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638093302519,1638093304722
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638093304731,1638093316642
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638093316652,1638093324655
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638093324663,1638093335094
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638093335103,1638093338419
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638093338428,1638093363189
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638093363198,1638093373496
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638093373505,1638093377437
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638093377445,1638093384835
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638093384844,1638093386713
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638093386721,1638093391817
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638093391826,1638093478952
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638093479050,1638093517713
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638093517765,1638093533721
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638093533730,1638093543129
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638093543138,1638093558391
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638093558400,1638093567633
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638093567642,1638093569481
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1638093569491,1638093578858
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_shelter,1638093578866,1638093581548
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1638093581556,1638093583593
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1638093583601,1638093588830
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1638093588839,1638093754957
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1638093755011,1638093813938
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1638093813986,1638093836412
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1638093836421,1638093843494
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1638093843504,1638093860984
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1638093861015,1638093864789
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1638093864798,1638093874248
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1638093874258,1638093890790
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1638093890798,1638093899518
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1638093899525,1638093901446
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1638093901454,1638093911221
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1638093911229,1638093916973
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1638093916981,1638093919084
question,/aR6PPMC6cqn8347ghKWeBk/coherence/use_complaint_mechanisms,1638093919092,1638093925718
question,/aR6PPMC6cqn8347ghKWeBk/coherence/reason_not_use_complaint,1638093925726,1638093927480
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1638093927489,1638093929391
question,/aR6PPMC6cqn8347ghKWeBk/coherence/reason_not_use_complaint,1638093929400,1638093930722
question,/aR6PPMC6cqn8347ghKWeBk/coherence/use_complaint_mechanisms,1638093930730,1638093933198
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1638093933207,1638093935492
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1638093935500,1638093938185
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1638093938194,1638093938934
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1638093938942,1638093948459
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1638093948467,1638093949223
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1638093949231,1638093972247
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1638093972256,1638093984351
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1638093984359,1638093985331
end screen,,1638093985338,1638094704819
form save,,1638094705050,
form exit,,1638094705050,
form finalize,,1638094705050,
