event,node,start,end
form start,,1637567400928,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637567400930,1637567484266
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637567484276,1637567486734
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637567486747,1637567488341
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637567488352,1637567650688
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637567650699,1637567656198
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/will_to_response,1637567656214,1637567658485
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/relationship,1637567658496,1637567659939
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637567659948,1637567663885
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637567663896,1637567665708
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/sex_head_hh,1637567665719,1637567667125
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637567667139,1637567683486
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637567683495,1637567740922
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637567740993,1637567743649
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637567743657,1637567744829
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637567744894,1637567747452
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637567747461,1637567752803
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637567752867,1637567756867
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637567756874,1637567763119
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637567763129,1637567773347
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637567773360,1637567780227
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637567780236,1637567802484
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637567802494,1637567805014
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637567805028,1637567815627
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637567815640,1637567827585
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637567827596,1637567831230
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637567831239,1637567836107
