event,node,start,end
form start,,1637489058960,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637489058962,1637489087597
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637489087606,1637489124404
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637489124415,1637489126019
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637489126031,1637489128884
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637489128898,1637489132632
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637489132647,1637489135366
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637489135376,1637489138248
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637489138261,1637489158623
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637489158632,1637489181762
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637489181824,1637489183168
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637489183176,1637489190550
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637489190559,1637489200002
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637489200010,1637489202273
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637489202281,1637489204545
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637489204553,1637489210776
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637489210785,1637489223770
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637489223780,1637489225728
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637489225738,1637489256876
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637489256889,1637489272400
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637489272409,1637489288238
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637489288247,1637489293941
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637489293954,1637489297011
