event,node,start,end
form start,,1637823774337,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637823774341,1637823777535
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637823777558,1637823814437
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637823814451,1637823816747
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637823816759,1637823818490
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637823818501,1637823820274
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/will_to_response,1637823820286,1637823821592
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/relationship,1637823821602,1637823823414
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637823823423,1637823825278
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637823825288,1637823827326
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/sex_head_hh,1637823827336,1637823828481
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637823828494,1637823835048
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637823835057,1637823890067
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637823890133,1637823891952
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637823891961,1637823898112
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637823898124,1637823916408
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637823916419,1637823921108
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637823921119,1637823929346
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637823929355,1637823930947
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637823930955,1637823963635
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637823963643,1637823981380
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637823981393,1637823989797
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637823989806,1637823996016
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1637823996025,1637823998910
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637823998919,1637824000817
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637824000828,1637824021606
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637824021617,1637824024662
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637824024751,1637824027218
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637824027228,1637824119626
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637824119730,1637824155150
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637824155232,1637824167313
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637824167322,1637824168991
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637824169005,1637824178991
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637824179003,1637824180973
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637824180982,1637824184716
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637824184726,1637824187957
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637824187970,1637824197613
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637824197622,1637824206686
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637824206703,1637824209311
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_repair_nfi,1637824209320,1637824218384
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637824218393,1637824248047
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637824248058,1637824418935
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637824418995,1637824502565
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637824502646,1637824524366
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1637824524375,1637824526331
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637824526342,1637824528700
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation_mpca,1637824528709,1637824531799
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637824531810,1637824580424
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637824580467,1637824587875
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637824587884,1637824593074
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637824593086,1637824606652
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637824606666,1637824612600
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637824612613,1637824615556
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637824615565,1637824631010
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637824631028,1637824639737
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose_other,1637824639753,1637824647988
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637824647999,1637824650174
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637824650189,1637824662271
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance_other,1637824662285,1637824667353
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637824667363,1637824668426
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance_other,1637824668435,1637824670512
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637824670526,1637824674380
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637824674393,1637824695931
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637824695944,1637824729738
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637824729746,1637824730953
end screen,,1637824730968,1637825152305
form save,,1637825152878,
form exit,,1637825152878,
form finalize,,1637825152878,
