event,node,start,end
form start,,1637663556410,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637663556411,1637663559822
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637663559831,1637663704357
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637663704374,1637663706581
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637663706594,1637663708832
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637663708845,1637663725718
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637663725730,1637663728189
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637663728197,1637663729151
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637663729159,1637663734236
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637663734245,1637663736335
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637663736347,1637663749063
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637663749071,1637663801333
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637663801388,1637663803250
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637663803259,1637663808239
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637663808251,1637663816300
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637663816317,1637663824685
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637663824701,1637663833551
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637663833560,1637663838363
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637663838372,1637663856937
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637663856953,1637663872429
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637663872444,1637663875411
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637663875423,1637663881693
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637663881707,1637663906623
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637663906634,1637664072051
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637664072139,1637664188549
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637664188600,1637664205800
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637664205812,1637664213829
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637664213838,1637664247125
