event,node,start,end
form start,,1637832719839,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637832719841,1637832753084
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637832753094,1637832795872
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637832795887,1637832797542
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637832797557,1637832798909
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637832798924,1637832800206
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637832800220,1637832802798
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637832802807,1637832804338
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637832804350,1637832811205
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637832811213,1637832921394
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637832921453,1637832923291
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637832923300,1637832929063
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637832929076,1637832933049
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637832933059,1637832939226
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637832939235,1637832948431
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637832948440,1637832950132
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637832950140,1637832963105
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637832963121,1637832970935
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637832970945,1637832972818
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637832972827,1637832974661
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637832974670,1637832975593
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637832975602,1637832977517
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637832977526,1637832979056
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637832979071,1637832991227
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637832991239,1637833001586
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637833001598,1637833006408
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637833006424,1637833174890
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637833174977,1637833248314
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637833248390,1637833264138
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637833264146,1637833265596
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637833265608,1637833315361
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637833315370,1637833326967
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637833326975,1637833362759
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637833362768,1637833371159
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_repair_nfi,1637833371170,1637833372716
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637833372731,1637833415736
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637833415752,1637833573358
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637833573414,1637833667227
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637833667308,1637833690941
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637833690951,1637833692680
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637833692689,1637833694158
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1637833694172,1637833696241
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637833696251,1637833697598
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637833697616,1637833701021
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637833701082,1637833703040
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1637833703049,1637833706582
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637833706591,1637833722220
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637833722233,1637833788863
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637833788898,1637833798012
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637833798023,1637833802727
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637833802739,1637833806005
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637833806014,1637833821317
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637833821327,1637833824556
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637833824565,1637833831623
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637833831635,1637833846839
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose_other,1637833846849,1637833854232
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637833854241,1637833860634
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637833860644,1637833926113
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637833926122,1637833931723
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637833931734,1637833985552
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637833985560,1637833998165
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637833998178,1637833999742
end screen,,1637833999751,1637834037275
form save,,1637834037994,
form exit,,1637834037995,
form finalize,,1637834037995,
