event,node,start,end
form start,,1637753722180,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637753722182,1637753727130
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637753727144,1637754430801
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637754430812,1637754432648
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637754432662,1637754439014
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637754439023,1637754444448
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637754444463,1637754448741
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637754448751,1637754452767
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637754452780,1637754455680
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637754455689,1637754550059
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637754550135,1637754551629
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637754551646,1637754555842
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637754555907,1637754568187
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637754568196,1637754634528
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637754634593,1637754636746
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637754636759,1637754645737
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637754645745,1637754651001
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637754651015,1637754663372
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637754663387,1637754675091
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637754675101,1637754676598
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637754676609,1637754698540
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637754698549,1637754719461
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637754719472,1637754744310
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637754744326,1637754746867
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1637754746883,1637754748814
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637754748826,1637754750594
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637754750607,1637754753863
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637754753876,1637754918208
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637754918311,1637754983939
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637754983996,1637754999441
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637754999450,1637755010185
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637755010194,1637755041928
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637755041943,1637755044040
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637755044049,1637755050385
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637755050400,1637755071204
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637755071218,1637755073146
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_repair_nfi,1637755073161,1637755076933
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637755076942,1637755078250
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_repair_nfi,1637755078259,1637755080050
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1637755080067,1637755082584
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637755082596,1637755085704
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1637755085719,1637755096039
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_shock_ineffective_debt,1637755096050,1637755102218
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637755102227,1637755121548
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637755121562,1637755359709
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637755359774,1637755403510
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637755403562,1637755431092
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637755431106,1637755432577
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637755432591,1637755437098
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637755437129,1637755442042
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637755442054,1637755501648
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637755501684,1637755504161
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637755504173,1637755522234
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637755522242,1637755528028
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637755528037,1637755533180
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637755533196,1637755540796
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637755540813,1637755543163
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637755543176,1637755552191
