event,node,start,end
form start,,1637565438604,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637565438606,1637565442467
form resume,,1637565500225,
jump,,1637565500226,1637565520550
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637565508690,1637565520550
jump,,1637565520551,1637565529472
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637565527124,1637565529472
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637565529487,1637565561988
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637565562006,1637565563965
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637565563978,1637565568137
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637565568155,1637565572775
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637565572786,1637565578800
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637565578826,1637565580782
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637565580797,1637565586174
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637565586186,1637565653489
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637565653573,1637565655842
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637565655854,1637565661825
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637565661837,1637565669765
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637565669779,1637565677610
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637565677621,1637565683251
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637565683262,1637565685468
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637565685478,1637565703918
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637565703930,1637565706655
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637565706666,1637565720896
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637565720910,1637565732113
