event,node,start,end
form start,,1637651649770,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637651649771,1637651655706
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637651655720,1637651749538
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637651749553,1637651772784
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637651772800,1637651777789
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637651777804,1637651782042
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637651782056,1637651786967
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637651786977,1637651788706
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637651788718,1637651793269
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637651793278,1637651911417
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637651911483,1637651914472
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637651914483,1637651917064
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637651917139,1637651919249
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637651919259,1637651926357
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637651926370,1637651932282
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637651932297,1637651941903
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637651941920,1637651957878
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637651957888,1637651959597
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637651959606,1637651980371
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637651980386,1637652012086
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637652012096,1637652017982
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637652017993,1637652023069
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637652023082,1637652025334
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637652025347,1637652032566
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637652032579,1637652216228
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637652216326,1637652269360
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637652269408,1637652302353
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637652302374,1637652309887
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637652309899,1637652340602
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637652340616,1637652346459
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637652346473,1637652350591
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637652350602,1637652366205
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637652366214,1637652367835
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_repair_nfi,1637652367851,1637652370869
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1637652370883,1637652372461
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637652372471,1637652374011
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1637652374026,1637652377070
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637652377081,1637652412932
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637652412947,1637652679392
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637652679457,1637652741028
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637652741085,1637652768632
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1637652768641,1637652773425
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637652773440,1637652790331
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1637652790342,1637652793827
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637652793838,1637652795377
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation_mpca,1637652795389,1637652800928
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637652800936,1637652902983
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637652903017,1637652906288
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637652906302,1637652923609
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637652923626,1637652934900
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637652934917,1637652939778
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637652939789,1637652945198
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637652945211,1637652956656
question,/aR6PPMC6cqn8347ghKWeBk/coherence/use_complaint_mechanisms,1637652956672,1637652960152
question,/aR6PPMC6cqn8347ghKWeBk/coherence/reason_not_use_complaint,1637652960172,1637652963084
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637652963098,1637652979589
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance_other,1637652979600,1637652991411
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637652991428,1637652992964
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637652992977,1637653032329
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637653032342,1637653055650
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637653055666,1637653062264
end screen,,1637653062279,1637653090045
form save,,1637653090736,
form exit,,1637653090736,
form finalize,,1637653090736,
form resume,,1637655002939,
jump,,1637655002939,1637655028290
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637655023349,1637655028290
jump,,1637655028290,1637655029733
end screen,,1637655029787,1637655031574
form save,,1637655032105,
form exit,,1637655032105,
form finalize,,1637655032105,
form resume,,1637673701410,
jump,,1637673701410,1637673706081
end screen,,1637673706111,1637673707470
form save,,1637673707956,
form exit,,1637673707956,
form finalize,,1637673707956,
